month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,43.43,23.96,13.27,12.85,0.41,0.35,1.74,1.56
2014-02,23.33,20.24,17.66,17.73,0.72,0.75,0.51,0.49
2014-03,20.36,23.71,16.93,16.39,0.87,0.86,0.51,0.49
2014-04,23.45,24.18,14.04,14.03,1.14,1.12,0.45,0.43
2014-05,21.81,24.08,12.95,12.91,1.11,1.12,0.28,0.32
2014-06,22.65,22.51,9.62,10.13,0.87,0.9,0.29,0.3
2014-07,23.74,25.48,8.11,8.13,0.56,0.56,0.28,0.28
2014-08,30.18,27.9,7.53,7.9,0.61,0.59,0.28,0.28
2014-09,38.29,31.64,8.89,8.61,0.68,0.65,0.27,0.3
2014-10,46.6,44.37,15.97,15.85,0.77,0.79,0.39,0.39
2014-11,27.66,31.56,17.48,17.18,0.99,1.01,0.4,0.42
2014-12,17.88,23.58,15.65,14.4,1.23,1.18,0.38,0.37
2015-01,25.92,23.25,13.95,13.73,0.83,0.84,0.49,0.46
2015-02,24.45,25.07,15.24,14.91,0.89,0.91,0.38,0.41
2015-03,24.65,26.79,16.52,15.5,1.05,1.03,0.39,0.4
2015-04,21.7,24.37,15.07,13.97,1.36,1.31,0.41,0.38
2015-05,15.46,21.03,10.45,11.26,0.97,1.04,0.34,0.34
2015-06,20.51,22.36,8.71,9.41,0.81,0.85,0.28,0.31
2015-07,24.46,24.99,8.37,8.43,0.61,0.59,0.31,0.3
2015-08,28.83,27.27,9.2,8.85,0.65,0.64,0.34,0.33
2015-09,,48.66,12.85,12.88,0.88,0.86,0.47,0.46
2015-10,65.53,62.99,24.66,23.95,0.9,0.87,0.4,0.39
2015-11,35.27,35.71,26.55,25.07,1.12,1.08,0.62,0.58
2015-12,23.4,25.58,17.28,16.52,0.77,0.8,0.45,0.43
2016-01,17.4,21.13,19.27,17.3,0.77,0.76,0.42,0.41
2016-02,23.51,24.0,16.56,15.79,0.82,0.8,0.47,0.45
2016-03,23.85,23.8,16.72,15.55,1.08,1.08,0.36,0.35
2016-04,13.34,21.84,14.59,14.14,1.29,1.27,0.35,0.34
2016-05,13.59,19.86,13.07,13.04,1.27,1.32,0.3,0.31
2016-06,18.92,21.49,11.51,11.59,1.05,1.06,0.41,0.39
2016-07,23.36,23.4,8.33,8.91,0.75,0.77,0.3,0.33
2016-08,22.42,23.93,8.87,8.94,0.78,0.75,0.36,0.35
2016-09,21.68,24.31,9.91,10.36,1.06,1.0,0.34,0.37
2016-10,25.92,24.94,12.09,11.8,1.1,1.1,0.3,0.35
2016-11,24.7,27.54,14.61,14.61,0.93,0.96,0.41,0.42
2016-12,22.35,22.89,12.83,12.66,0.83,0.83,0.29,0.31
2017-01,21.23,23.67,13.75,13.14,0.75,0.74,0.34,0.35
2017-02,24.34,23.64,15.11,13.6,0.91,0.81,0.3,0.31
2017-03,24.41,24.04,13.53,13.34,1.01,1.02,0.36,0.37
2017-04,19.52,23.58,15.62,14.25,1.14,1.05,0.34,0.36
2017-05,18.18,21.68,11.22,11.8,1.04,1.1,0.24,0.28
2017-06,19.34,21.8,11.09,10.31,0.97,0.88,0.23,0.27
2017-07,21.62,23.12,9.54,9.39,0.71,0.69,0.27,0.29
2017-08,23.73,24.79,8.9,8.51,0.61,0.58,0.3,0.29
2017-09,26.39,24.63,11.06,10.18,0.76,0.69,0.27,0.29
2017-10,22.6,25.21,14.56,14.0,0.81,0.81,0.43,0.41
2017-11,18.89,22.96,16.54,15.49,0.94,0.93,0.29,0.33
2017-12,24.36,24.77,18.3,16.07,0.97,0.94,0.29,0.32
2018-01,21.11,23.44,14.07,13.2,0.76,0.75,0.29,0.31
2018-02,22.21,23.09,16.73,14.9,0.94,0.86,0.29,0.33
2018-03,24.04,23.72,13.97,13.67,0.85,0.87,0.32,0.34
2018-04,27.02,24.75,14.88,14.12,1.11,1.08,0.3,0.33
2018-05,18.73,21.76,10.78,10.93,0.99,0.97,0.21,0.26
2018-06,21.85,22.21,9.46,9.41,0.81,0.81,0.24,0.29
2018-07,25.84,23.91,8.25,8.35,0.68,0.68,0.26,0.29
2018-08,26.94,26.11,8.54,8.08,0.65,0.61,0.26,0.29
2018-09,39.3,34.25,9.2,9.14,0.68,0.69,0.35,0.33
2018-10,43.43,42.01,18.05,17.62,0.9,0.91,0.37,0.41
2018-11,29.7,29.23,18.01,17.77,1.03,1.06,0.42,0.43
2018-12,22.72,22.68,13.47,13.21,0.8,0.81,0.28,0.31
2019-01,22.1,23.78,13.3,12.86,0.7,0.68,0.33,0.34
2019-02,23.86,23.39,14.04,13.12,0.84,0.79,0.31,0.32
2019-03,22.96,22.39,13.5,13.34,0.8,0.79,0.37,0.38
2019-04,17.94,22.33,14.0,13.85,1.1,1.13,0.29,0.31
2019-05,19.65,22.13,11.35,11.67,0.9,0.95,0.3,0.33
2019-06,23.39,24.22,8.66,9.06,0.62,0.63,0.28,0.29
2019-07,22.84,26.84,7.48,7.45,0.46,0.47,0.24,0.27
2019-08,31.28,30.77,8.05,7.6,0.5,0.48,0.25,0.27
2019-09,34.62,34.85,11.76,11.41,0.58,0.59,0.3,0.31
2019-10,28.47,29.21,13.22,13.34,0.77,0.76,0.33,0.36
2019-11,29.03,30.26,15.45,15.11,0.74,0.77,0.43,0.43
2019-12,32.85,35.31,15.92,16.09,0.84,0.88,0.34,0.37
2020-01,22.41,23.81,12.51,13.23,0.7,0.74,0.35,0.36
2020-02,22.8,23.1,13.41,13.28,0.78,0.77,0.32,0.33
2020-03,19.04,22.53,13.69,13.4,1.01,1.02,0.26,0.3
2020-04,21.12,22.55,13.11,13.21,0.94,0.98,0.27,0.3
2020-05,17.86,21.42,12.2,12.46,0.93,0.98,0.26,0.28
2020-06,20.18,22.73,9.72,9.66,0.82,0.81,0.29,0.29
2020-07,23.42,23.82,8.0,8.28,0.66,0.65,0.25,0.27
2020-08,20.18,23.03,8.5,8.66,0.69,0.69,0.31,0.32
2020-09,19.62,22.08,9.82,9.53,0.73,0.71,0.31,0.3
2020-10,25.07,25.0,12.09,11.83,0.71,0.72,0.28,0.31
2020-11,26.0,24.67,12.72,12.46,0.74,0.72,0.27,0.3
2020-12,25.29,24.61,13.94,13.01,0.75,0.7,0.22,0.26
2021-01,20.9,23.67,11.56,11.79,0.77,0.77,0.37,0.37
2021-02,23.54,23.73,14.6,13.6,0.7,0.69,0.3,0.32
2021-03,20.28,22.82,11.92,11.94,0.89,0.85,0.27,0.32
2021-04,18.28,22.84,12.53,12.71,0.8,0.84,0.38,0.38
2021-05,19.23,22.55,9.75,10.12,0.81,0.8,0.19,0.24
2021-06,19.21,21.45,10.5,9.85,0.77,0.7,0.29,0.3
2021-07,20.99,23.46,9.13,8.98,0.68,0.65,0.31,0.3
2021-08,20.42,23.04,9.07,8.83,0.68,0.64,0.28,0.29
2021-09,21.53,23.5,11.07,10.14,0.82,0.73,0.27,0.29
2021-10,18.19,22.4,12.87,12.56,0.83,0.82,0.34,0.37
2021-11,22.19,23.19,12.49,12.21,1.04,1.03,0.31,0.33
2021-12,23.92,23.63,12.69,12.45,0.72,0.73,0.24,0.28
2022-01,18.53,22.7,12.26,12.23,0.74,0.74,0.3,0.33
2022-02,21.89,23.95,11.54,11.19,0.79,0.74,0.32,0.32
2022-03,26.03,23.24,11.66,12.02,0.94,0.95,0.27,0.3
2022-04,24.21,24.0,12.69,12.94,0.99,1.01,0.34,0.36
2022-05,21.06,21.97,11.83,11.81,1.09,1.11,0.25,0.28
2022-06,20.57,22.47,11.04,10.85,0.95,0.94,0.36,0.36
2022-07,25.25,24.81,8.47,8.65,0.7,0.67,0.23,0.26
2022-08,21.95,22.97,9.27,9.34,0.78,0.76,0.31,0.31
2022-09,19.75,22.49,11.18,10.49,0.84,0.8,0.33,0.35
2022-10,21.0,25.48,14.41,14.22,0.89,0.92,0.37,0.39
2022-11,26.26,24.66,14.95,14.58,0.9,0.91,0.29,0.33
2022-12,31.32,27.69,11.97,12.05,0.7,0.71,0.29,0.32
2023-01,27.36,26.02,12.27,12.35,0.73,0.71,0.4,0.39
2023-02,23.08,23.63,11.46,11.24,0.66,0.67,0.26,0.29
2023-03,21.01,23.17,12.32,12.57,0.85,0.84,0.33,0.36
2023-04,22.48,23.2,11.7,11.89,0.9,0.93,0.26,0.31
2023-05,24.49,24.28,9.52,10.12,0.82,0.86,0.23,0.26
2023-06,19.49,22.72,9.48,9.07,0.67,0.64,0.25,0.28
2023-07,26.34,26.52,8.08,8.24,0.52,0.52,0.27,0.27
2023-08,27.05,28.19,7.45,7.41,0.45,0.45,0.28,0.28
2023-09,32.28,30.05,8.5,8.15,0.51,0.49,0.25,0.26
2023-10,30.89,32.33,13.34,13.74,0.68,0.71,0.37,0.38
2023-11,36.8,36.95,19.04,19.26,0.95,0.97,0.49,0.49
2023-12,21.54,24.46,14.66,15.26,0.87,0.92,0.39,0.39
2024-01,23.31,23.72,10.88,11.44,0.63,0.66,0.31,0.32
2024-02,22.66,22.53,12.67,13.49,0.78,0.82,0.32,0.33
2024-03,20.89,22.97,13.44,13.79,1.0,1.02,0.31,0.31
2024-04,20.33,20.71,13.96,13.46,1.32,1.34,0.29,0.29
2024-05,17.87,19.38,10.85,11.81,1.04,1.11,0.23,0.25
2024-06,24.93,23.34,9.69,9.84,0.78,0.79,0.32,0.29
2024-07,28.62,25.74,8.26,8.77,0.6,0.63,0.3,0.29
2024-08,22.9,24.59,9.04,8.62,0.62,0.59,0.3,0.29
2024-09,22.67,23.66,11.6,11.55,0.72,0.73,0.36,0.35
2024-10,24.62,23.87,14.19,13.82,0.73,0.77,0.28,0.32
2024-11,18.64,22.68,14.89,14.6,0.81,0.82,0.31,0.34
2024-12,23.47,22.56,12.71,12.78,0.74,0.74,0.26,0.28
