month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,52.62,48.63,9.4,11.1,0.49,0.62,0.36,0.07
2014-02,54.31,52.27,24.0,20.04,0.94,0.93,0.69,0.57
2014-03,52.33,51.01,25.41,21.79,1.19,1.17,1.06,1.06
2014-04,,45.7,15.98,15.76,1.63,1.58,2.24,2.38
2014-05,,,10.85,12.04,1.32,1.38,1.83,2.34
2014-06,59.15,55.64,10.26,10.62,1.25,1.3,2.43,2.83
2014-07,56.12,55.79,10.67,10.73,1.19,1.2,4.1,4.06
2014-08,55.64,56.82,9.31,10.26,1.06,1.18,3.21,3.8
2014-09,63.96,64.93,11.53,12.54,1.09,1.2,3.43,3.72
2014-10,72.44,70.68,21.33,20.21,1.34,1.36,4.21,4.11
2014-11,57.15,54.74,28.83,25.58,1.59,1.51,3.24,3.07
2014-12,48.24,46.09,15.63,15.31,1.46,1.44,1.44,1.85
2015-01,47.33,43.22,12.02,11.69,0.86,0.87,0.9,0.97
2015-02,43.83,38.78,14.86,14.07,1.08,1.08,0.93,1.15
2015-03,47.79,42.43,15.27,14.97,1.21,1.23,1.19,1.49
2015-04,40.72,40.69,14.6,14.18,1.5,1.45,1.38,1.86
2015-05,52.2,51.19,10.54,10.96,1.3,1.36,2.19,2.6
2015-06,52.96,52.31,9.1,10.04,1.25,1.26,3.28,3.55
2015-07,52.58,51.54,9.2,9.67,1.0,1.05,2.91,3.28
2015-08,52.62,52.64,9.84,9.8,1.06,1.15,3.49,3.92
2015-09,57.46,55.27,17.76,15.91,1.15,1.17,4.1,4.17
2015-10,67.88,58.69,30.65,22.95,1.04,1.0,2.48,2.23
2015-11,54.6,52.5,27.46,24.29,1.36,1.33,2.98,2.66
2015-12,48.68,41.51,18.87,17.59,1.1,1.12,1.21,1.32
2016-01,36.65,30.28,21.43,18.62,1.17,1.18,1.26,1.13
2016-02,29.47,31.93,18.79,16.79,1.2,1.13,1.01,1.08
2016-03,31.97,30.21,18.25,16.57,1.41,1.3,1.16,1.25
2016-04,45.74,39.17,14.53,13.97,1.51,1.4,1.39,1.6
2016-05,54.05,52.35,11.8,11.91,1.46,1.45,2.06,2.69
2016-06,51.5,51.03,11.84,11.89,1.52,1.51,2.62,3.32
2016-07,52.13,,9.68,11.25,1.26,1.35,2.14,2.83
2016-08,53.95,52.73,9.92,10.83,1.25,1.34,3.2,3.62
2016-09,42.14,45.72,11.7,11.84,1.49,1.45,2.66,3.48
2016-10,,44.36,15.12,14.34,1.63,1.52,2.01,2.34
2016-11,52.7,,17.73,17.19,1.58,1.58,2.18,2.6
2016-12,54.54,,10.67,11.14,1.0,1.0,1.38,1.52
2017-01,32.23,37.6,12.43,11.96,0.89,0.92,0.89,0.98
2017-02,39.45,38.31,12.86,12.27,1.03,0.97,0.81,0.93
2017-03,31.92,34.56,14.63,13.34,1.23,1.23,1.12,1.41
2017-04,40.91,40.73,16.77,15.47,1.57,1.47,2.35,2.29
2017-05,45.92,,11.86,12.57,1.55,1.52,3.93,4.34
2017-06,40.39,44.68,10.6,11.13,1.38,1.41,2.94,3.51
2017-07,52.29,51.76,9.74,10.49,1.35,1.32,4.79,5.0
2017-08,,52.21,9.79,10.43,1.17,1.22,4.41,5.08
2017-09,54.47,53.45,12.15,12.37,1.35,1.33,4.16,4.8
2017-10,54.08,56.91,18.21,18.81,1.72,1.69,5.14,5.22
2017-11,46.09,49.35,19.38,18.52,1.55,1.51,2.08,2.75
2017-12,42.12,41.65,12.87,12.87,1.19,1.17,1.47,1.51
2018-01,45.59,41.91,12.73,11.94,0.87,0.9,0.98,0.95
2018-02,36.14,36.27,14.36,13.06,1.08,1.01,0.65,0.93
2018-03,33.84,34.0,15.71,13.94,1.46,1.38,1.64,1.69
2018-04,34.12,38.77,14.23,13.44,1.43,1.35,1.94,1.87
2018-05,53.95,52.17,11.6,11.34,1.44,1.36,3.53,3.57
2018-06,,,9.91,10.28,1.24,1.24,3.49,3.69
2018-07,51.7,52.88,9.83,10.78,1.38,1.32,5.57,6.04
2018-08,52.63,55.91,11.09,12.47,1.47,1.48,5.9,6.91
2018-09,57.49,58.58,13.71,14.67,1.51,1.43,5.45,5.47
2018-10,60.42,60.8,20.95,20.2,1.59,1.5,4.65,4.41
2018-11,,,20.63,20.02,1.6,1.53,2.82,2.91
2018-12,49.09,45.73,15.2,14.89,1.38,1.41,1.7,2.03
2019-01,34.64,39.03,12.9,12.38,1.04,1.01,0.97,1.1
2019-02,25.33,31.71,14.91,13.81,1.23,1.17,0.95,1.19
2019-03,38.99,37.33,16.31,14.64,1.42,1.3,1.44,1.6
2019-04,36.71,39.88,14.49,13.87,1.64,1.51,1.93,1.98
2019-05,48.3,45.61,10.33,10.94,1.31,1.32,3.99,3.94
2019-06,51.02,49.49,9.1,9.62,1.16,1.21,4.45,4.7
2019-07,45.45,47.79,8.21,8.48,0.95,0.94,3.37,3.44
2019-08,53.18,52.94,9.94,9.87,1.09,1.07,4.3,4.22
2019-09,55.37,54.75,14.46,13.31,1.1,1.07,4.21,3.68
2019-10,64.58,63.31,17.9,17.77,1.45,1.33,4.68,4.13
2019-11,53.39,54.68,21.72,20.67,1.51,1.44,4.74,4.38
2019-12,42.28,45.23,19.33,18.35,1.45,1.5,1.82,2.15
2020-01,28.46,34.74,13.75,13.19,1.03,1.0,1.03,1.03
2020-02,25.73,31.89,15.28,14.14,1.12,1.11,0.85,1.08
2020-03,27.89,32.03,15.39,14.23,1.3,1.24,1.15,1.3
2020-04,26.13,34.38,13.63,13.31,1.36,1.34,1.48,1.63
2020-05,34.62,41.41,12.7,12.5,1.4,1.41,2.44,2.62
2020-06,49.42,,8.71,9.71,1.17,1.22,2.98,3.28
2020-07,44.89,47.52,8.43,9.17,1.16,1.18,3.67,4.3
2020-08,41.0,48.5,8.81,9.72,1.09,1.19,2.9,3.95
2020-09,49.02,51.53,10.98,11.37,1.43,1.45,5.26,6.02
2020-10,52.22,53.01,14.69,14.93,1.42,1.42,3.76,4.37
2020-11,44.28,46.09,16.06,16.15,1.33,1.43,2.07,2.31
2020-12,40.58,42.25,11.65,11.45,0.96,0.94,1.12,1.14
2021-01,36.71,38.14,12.38,11.81,0.87,0.89,0.94,0.91
2021-02,38.64,40.16,12.34,11.54,0.76,0.81,0.63,0.75
2021-03,34.31,36.38,14.52,13.63,1.2,1.21,1.27,1.48
2021-04,31.7,42.89,12.51,12.67,1.23,1.33,2.68,3.23
2021-05,43.93,47.15,11.13,11.7,1.23,1.3,2.37,2.84
2021-06,36.66,39.99,10.67,11.21,1.15,1.24,1.77,2.15
2021-07,40.29,45.7,8.01,9.07,0.93,1.1,3.27,4.07
2021-08,52.24,53.0,9.41,10.4,1.18,1.25,3.99,4.82
2021-09,51.37,51.85,10.81,11.11,1.19,1.27,3.81,4.55
2021-10,52.23,54.67,15.76,16.68,1.58,1.64,4.87,5.41
2021-11,35.43,40.63,12.91,13.96,1.44,1.46,1.57,1.93
2021-12,40.51,40.54,14.53,13.44,1.26,1.24,1.38,1.63
2022-01,46.56,44.73,11.99,12.23,0.87,0.95,1.0,1.12
2022-02,38.4,39.5,11.93,12.24,0.95,0.99,0.86,1.13
2022-03,45.43,42.55,13.31,13.23,1.29,1.29,1.39,1.72
2022-04,41.96,45.06,13.12,13.34,1.42,1.46,2.36,2.77
2022-05,33.83,39.26,12.38,12.45,1.4,1.38,1.93,2.12
2022-06,46.45,49.27,11.96,12.26,1.59,1.54,3.55,3.94
2022-07,42.43,46.3,9.53,10.55,1.3,1.35,3.3,4.17
2022-08,48.68,51.15,9.36,10.33,1.31,1.32,3.94,4.54
2022-09,51.43,51.2,11.77,12.23,1.48,1.51,4.55,5.01
2022-10,,52.09,18.87,18.84,1.86,1.78,3.34,3.85
2022-11,42.57,42.67,15.88,15.26,1.33,1.36,1.56,1.79
2022-12,43.23,44.27,13.02,13.34,1.2,1.26,2.12,2.2
2023-01,46.85,45.53,11.44,11.26,0.98,0.98,1.56,1.4
2023-02,39.43,40.24,10.86,11.12,0.73,0.77,0.67,0.78
2023-03,35.61,37.36,12.97,12.15,1.24,1.19,1.59,1.68
2023-04,36.8,41.32,12.34,12.68,1.43,1.44,2.32,2.41
2023-05,52.49,,11.11,11.74,1.37,1.4,4.01,4.21
2023-06,47.8,51.09,10.4,10.61,1.25,1.33,4.87,5.48
2023-07,49.9,51.13,10.38,11.96,1.41,1.56,6.84,7.88
2023-08,44.89,44.2,8.43,8.83,1.03,1.05,4.01,4.43
2023-09,54.15,53.46,11.5,11.26,1.25,1.32,5.76,5.97
2023-10,59.42,58.16,18.05,17.7,1.29,1.31,3.64,3.8
2023-11,51.92,54.2,20.97,20.47,1.46,1.48,3.4,3.47
2023-12,52.61,51.41,17.76,18.1,1.51,1.55,3.42,3.31
2024-01,41.99,41.96,14.74,14.49,1.12,1.13,1.37,1.52
2024-02,34.21,34.74,13.47,13.54,1.12,1.12,0.98,1.19
2024-03,47.09,44.04,12.63,13.22,1.25,1.27,1.91,1.97
2024-04,39.18,39.09,14.57,14.65,1.72,1.61,2.9,2.73
2024-05,51.69,51.68,10.09,10.35,1.44,1.43,3.82,3.76
2024-06,47.69,45.13,10.86,10.82,1.32,1.3,3.54,3.46
2024-07,49.99,,8.97,9.65,1.17,1.22,4.09,4.46
2024-08,,,10.09,10.45,1.29,1.29,5.17,5.31
2024-09,51.43,51.38,13.42,13.57,1.52,1.48,6.15,6.31
2024-10,59.29,59.47,19.42,19.74,1.69,1.67,5.92,5.99
2024-11,,46.33,17.91,18.26,1.34,1.4,1.73,1.97
2024-12,41.06,40.54,13.05,12.95,1.02,0.99,1.24,1.18
