month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,37.27,45.39,15.3,17.76,0.57,0.8,0.3,0.2
2014-02,54.3,47.28,48.17,29.62,1.48,1.35,0.55,0.51
2014-03,36.61,32.79,49.05,40.97,2.27,2.1,0.4,0.49
2014-04,30.21,30.25,38.61,33.64,3.28,2.52,0.53,0.52
2014-05,27.24,31.87,34.46,32.66,3.22,2.76,0.48,0.56
2014-06,25.92,31.32,26.04,29.48,2.58,2.43,0.62,0.56
2014-07,,38.73,25.76,25.2,1.79,1.58,0.71,0.56
2014-08,67.13,54.66,33.66,29.94,2.45,1.97,0.97,0.83
2014-09,108.29,106.02,63.59,56.25,2.34,2.1,2.43,2.4
2014-10,92.48,90.68,91.83,87.96,2.17,2.16,3.46,3.04
2014-11,53.94,54.21,119.67,120.55,3.38,3.18,2.02,1.79
2014-12,23.78,30.51,31.53,32.38,2.58,2.37,0.41,0.51
2015-01,24.76,30.95,33.61,30.02,2.35,2.01,0.44,0.5
2015-02,24.08,30.67,41.26,32.7,2.71,2.13,0.39,0.48
2015-03,32.46,30.67,42.75,35.01,2.82,2.29,0.43,0.51
2015-04,25.08,30.77,34.08,33.17,2.88,2.47,0.33,0.51
2015-05,26.62,30.91,31.29,31.53,3.09,2.6,0.46,0.53
2015-06,25.73,33.24,26.22,27.95,2.81,2.35,0.69,0.59
2015-07,45.83,44.88,22.67,22.76,1.52,1.35,0.72,0.51
2015-08,115.18,110.56,49.25,54.54,2.04,2.11,2.25,2.49
2015-09,178.82,177.88,180.74,189.41,2.6,2.73,6.91,7.14
2015-10,147.82,146.34,217.08,214.98,2.94,3.02,6.67,7.68
2015-11,39.76,39.43,62.69,47.8,2.85,2.37,0.62,0.78
2015-12,27.49,32.77,38.45,34.18,2.0,2.0,0.41,0.49
2016-01,24.21,29.34,45.61,36.92,2.29,2.18,0.47,0.47
2016-02,25.53,29.05,55.83,39.41,2.82,2.39,0.49,0.5
2016-03,21.51,28.98,48.42,37.86,3.11,2.59,0.35,0.51
2016-04,25.04,29.25,46.47,35.39,3.67,2.81,0.41,0.51
2016-05,25.69,31.63,30.76,31.42,3.43,3.13,0.55,0.57
2016-06,25.71,31.36,28.02,28.92,2.83,2.53,0.58,0.57
2016-07,31.04,34.94,25.83,28.98,2.54,2.11,0.56,0.57
2016-08,49.98,37.69,20.74,26.07,1.78,1.74,0.64,0.59
2016-09,68.07,56.76,24.8,28.76,2.82,2.44,0.69,0.75
2016-10,30.81,31.7,30.44,31.71,3.0,2.56,0.57,0.58
2016-11,27.25,29.63,36.18,33.61,2.78,2.42,0.49,0.52
2016-12,27.45,32.47,26.07,28.58,2.02,2.0,0.4,0.52
2017-01,24.77,35.34,31.68,29.61,1.71,1.67,0.41,0.46
2017-02,31.31,35.32,28.72,30.3,1.96,1.85,0.4,0.48
2017-03,30.65,30.0,34.7,32.28,2.43,2.09,0.42,0.49
2017-04,29.47,30.32,33.16,33.52,2.44,2.29,0.37,0.49
2017-05,25.44,30.99,34.49,33.94,3.33,2.75,0.69,0.55
2017-06,25.91,30.5,28.39,29.24,2.76,2.23,0.49,0.54
2017-07,29.69,34.61,26.61,27.42,2.25,1.87,0.67,0.57
2017-08,32.56,33.75,27.05,30.8,2.17,1.99,0.61,0.55
2017-09,,37.08,26.17,29.17,1.81,1.81,0.51,0.59
2017-10,41.37,34.13,34.65,31.29,2.28,2.01,0.76,0.56
2017-11,26.51,29.91,41.72,35.77,2.85,2.38,0.49,0.51
2017-12,27.16,36.08,28.1,27.5,1.59,1.73,0.43,0.49
2018-01,28.24,34.73,33.53,30.31,1.88,1.74,0.53,0.49
2018-02,33.16,34.75,35.04,32.18,2.11,1.89,0.29,0.5
2018-03,27.83,29.97,36.11,34.37,2.2,2.1,0.35,0.48
2018-04,35.91,31.43,33.27,33.6,2.6,2.37,0.31,0.53
2018-05,31.3,31.4,31.85,33.12,3.05,2.63,0.48,0.55
2018-06,38.74,32.84,23.81,27.73,2.12,2.0,0.54,0.57
2018-07,38.91,40.24,21.83,24.39,1.74,1.52,0.6,0.56
2018-08,65.38,58.75,31.92,28.59,1.7,1.51,0.94,0.92
2018-09,72.35,62.45,48.17,42.51,2.04,1.8,1.44,1.23
2018-10,48.86,40.34,60.02,51.18,2.65,2.27,0.74,0.66
2018-11,24.98,28.49,38.8,35.18,2.69,2.31,0.54,0.49
2018-12,30.02,34.04,27.06,29.08,2.09,2.09,0.38,0.52
2019-01,27.28,35.45,33.58,31.05,2.05,1.82,0.5,0.52
2019-02,23.49,30.4,40.14,36.75,2.59,2.27,0.4,0.52
2019-03,33.54,31.95,36.2,32.22,2.17,1.96,0.48,0.49
