month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,25.23,20.01,18.86,18.42,0.61,0.92,0.27,0.31
2014-02,24.87,24.6,17.28,13.07,0.69,0.69,0.25,0.24
2014-03,52.93,52.21,67.68,60.99,1.44,1.49,0.88,0.97
2014-04,21.95,19.86,15.25,14.03,1.28,1.13,0.23,0.34
2014-05,18.12,20.01,14.19,13.5,1.58,1.38,0.35,0.4
2014-06,27.55,25.29,11.04,14.31,1.1,1.15,0.44,0.46
2014-07,29.13,27.69,10.86,13.25,0.95,0.93,0.46,0.4
2014-08,27.11,29.55,16.44,17.66,1.32,1.23,0.57,0.56
2014-09,37.71,39.18,29.74,23.22,1.24,1.16,0.67,0.67
2014-10,43.45,40.49,43.39,30.76,1.39,1.25,0.56,0.66
2014-11,16.48,20.08,25.18,16.06,1.34,1.19,0.34,0.36
2014-12,13.35,19.04,14.6,13.35,1.03,0.98,0.21,0.29
2015-01,20.3,22.07,14.99,12.96,0.94,0.88,0.3,0.3
2015-02,16.27,21.36,16.98,12.99,1.01,0.98,0.28,0.35
2015-03,14.39,19.19,15.13,13.47,1.15,1.06,0.26,0.32
2015-04,18.22,19.15,14.34,12.78,1.41,1.29,0.25,0.36
2015-05,24.02,23.51,13.57,13.64,1.32,1.21,0.39,0.43
2015-06,21.49,25.87,12.68,13.61,1.24,1.22,0.5,0.48
2015-07,32.54,32.86,12.83,17.26,0.95,1.01,0.61,0.51
2015-08,44.82,44.51,17.65,18.96,1.1,1.09,0.68,0.71
2015-09,59.19,57.14,37.77,25.93,1.08,1.04,0.92,0.97
2015-10,76.19,79.76,204.79,209.73,2.17,2.37,1.97,2.17
2015-11,31.73,34.3,45.44,40.08,1.47,1.43,0.51,0.58
2015-12,13.38,18.32,17.05,15.07,0.98,1.0,0.31,0.31
2016-01,13.84,17.92,19.53,15.51,0.92,0.98,0.31,0.29
2016-02,21.0,19.94,19.78,13.96,0.96,0.94,0.24,0.28
2016-03,14.3,17.09,17.85,13.94,1.28,1.22,0.24,0.3
2016-04,11.27,16.15,15.96,13.82,1.28,1.17,0.21,0.27
2016-05,16.96,17.05,12.79,13.81,1.33,1.26,0.28,0.3
2016-06,25.58,25.64,9.12,11.85,1.01,1.0,0.35,0.4
2016-07,17.76,24.35,10.03,12.71,1.09,1.04,0.43,0.41
2016-08,18.84,24.56,10.2,13.26,1.1,1.07,0.44,0.44
2016-09,17.97,23.25,11.13,13.34,1.26,1.17,0.43,0.44
2016-10,24.71,24.51,11.57,14.59,1.12,1.09,0.4,0.42
2016-11,21.13,20.12,11.25,13.61,1.05,1.01,0.26,0.32
2016-12,23.5,23.4,10.96,12.19,0.73,0.71,0.22,0.23
2017-01,31.94,27.84,12.58,11.7,0.62,0.62,0.22,0.21
2017-02,20.56,22.25,14.63,13.05,0.91,0.82,0.19,0.24
2017-03,23.26,22.5,11.69,12.34,0.91,0.9,0.24,0.31
2017-04,19.91,20.32,11.95,12.92,1.1,1.03,0.23,0.31
2017-05,22.21,21.57,12.37,14.46,1.37,1.28,0.46,0.41
2017-06,16.47,21.84,10.98,13.98,1.13,1.12,0.41,0.41
2017-07,23.01,26.8,10.8,12.99,1.01,1.02,0.45,0.46
2017-08,30.33,29.24,13.27,15.12,1.18,1.07,0.52,0.48
2017-09,34.33,32.84,14.35,15.79,1.1,1.0,0.45,0.48
2017-10,19.02,22.87,13.12,14.6,1.01,1.01,0.48,0.39
2017-11,23.51,23.26,13.96,13.81,0.88,0.89,0.27,0.31
2017-12,16.61,20.46,11.88,13.04,0.83,0.82,0.27,0.27
2018-01,32.98,27.92,15.46,11.87,0.67,0.66,0.25,0.23
2018-02,15.83,19.88,16.14,14.03,1.01,0.94,0.2,0.28
2018-03,16.6,18.74,13.08,13.67,1.02,0.99,0.22,0.31
2018-04,17.7,19.73,15.53,14.17,1.28,1.17,0.29,0.34
2018-05,33.03,22.57,15.25,15.68,1.39,1.28,0.35,0.41
2018-06,20.57,23.93,10.86,12.78,1.03,1.04,0.34,0.41
2018-07,30.59,30.16,11.0,12.79,1.02,0.96,0.47,0.43
2018-08,22.91,28.49,12.26,14.24,1.05,0.99,0.45,0.45
2018-09,44.76,36.4,14.46,15.43,1.09,1.04,0.44,0.56
2018-10,34.97,32.98,27.09,23.64,1.38,1.21,0.46,0.52
2018-11,19.91,22.45,16.76,15.13,1.14,1.09,0.43,0.39
2018-12,23.38,23.59,12.99,13.03,0.92,0.91,0.3,0.33
2019-01,20.25,21.14,13.78,13.65,0.82,0.83,0.26,0.27
2019-02,12.93,17.54,15.85,14.39,1.06,1.0,0.25,0.28
2019-03,18.86,20.11,14.85,13.97,0.98,0.97,0.28,0.32
2019-04,15.15,18.29,11.62,14.28,1.06,1.07,0.26,0.31
2019-05,19.07,22.42,11.72,15.6,1.11,1.1,0.51,0.4
2019-06,29.27,26.78,12.85,15.88,1.07,1.15,0.49,0.48
2019-07,44.23,37.47,11.52,11.72,0.8,0.79,0.46,0.43
2019-08,53.44,51.68,13.41,11.43,0.67,0.64,0.49,0.5
2019-09,56.99,56.11,31.46,20.98,0.89,0.8,0.82,0.73
2019-10,56.07,55.69,42.07,35.89,1.3,1.3,1.1,1.1
2019-11,35.49,38.58,22.33,20.54,0.97,1.07,0.61,0.63
2019-12,18.02,25.11,20.98,19.86,1.32,1.31,0.51,0.52
2020-01,15.67,18.38,14.41,15.5,0.83,0.92,0.26,0.28
2020-02,15.24,17.86,15.56,15.03,0.92,0.97,0.28,0.28
2020-03,16.26,18.18,14.83,14.04,1.03,1.02,0.24,0.29
2020-04,16.38,18.42,14.09,14.43,1.09,1.08,0.31,0.32
2020-05,22.49,20.31,10.36,13.71,0.95,0.96,0.28,0.3
2020-06,20.04,23.97,10.91,13.14,1.08,1.11,0.48,0.43
2020-07,33.32,31.51,12.18,15.63,1.16,1.12,0.55,0.55
2020-08,23.61,30.1,11.61,13.21,1.07,1.04,0.56,0.51
2020-09,29.19,30.44,11.67,13.85,1.05,1.0,0.45,0.47
2020-10,23.98,28.0,12.92,14.54,0.95,0.96,0.48,0.44
2020-11,20.64,21.75,14.9,14.4,0.93,0.93,0.34,0.33
2020-12,21.3,24.03,12.71,12.06,0.62,0.63,0.24,0.21
2021-01,22.09,23.59,13.73,12.24,0.64,0.67,0.26,0.23
2021-02,16.14,21.58,13.53,13.15,0.69,0.71,0.22,0.22
2021-03,15.1,18.89,14.01,13.6,1.01,0.95,0.22,0.3
2021-04,29.12,25.89,11.71,12.06,0.9,0.87,0.32,0.32
2021-05,26.01,23.18,12.93,14.49,1.08,1.1,0.38,0.4
2021-06,25.06,24.99,9.73,12.68,0.89,0.93,0.39,0.38
2021-07,24.58,29.43,9.19,11.12,0.74,0.74,0.39,0.32
2021-08,23.12,25.11,12.61,15.69,1.12,1.05,0.45,0.43
2021-09,31.64,32.03,11.56,14.41,1.05,1.04,0.47,0.51
2021-10,20.2,24.69,11.31,12.89,0.99,0.97,0.38,0.38
2021-11,30.18,25.19,8.99,11.21,0.8,0.82,0.27,0.3
2021-12,18.26,21.92,13.36,12.81,0.87,0.84,0.26,0.27
2022-01,17.2,21.31,12.2,13.23,0.74,0.79,0.26,0.27
2022-02,30.77,28.26,10.98,11.18,0.7,0.65,0.22,0.23
2022-03,29.03,25.44,11.83,12.73,0.88,0.86,0.22,0.3
2022-04,21.14,23.31,10.68,12.27,1.04,1.01,0.33,0.35
2022-05,17.99,19.98,9.58,13.07,1.0,1.02,0.3,0.33
2022-06,27.87,25.31,10.58,13.62,1.16,1.11,0.36,0.43
2022-07,22.28,25.15,9.53,11.53,0.86,0.89,0.35,0.36
2022-08,17.21,23.45,10.2,12.63,0.99,0.96,0.44,0.38
2022-09,25.16,27.0,10.06,12.15,0.91,0.88,0.36,0.37
2022-10,22.83,25.55,13.94,15.59,1.08,1.05,0.46,0.43
2022-11,17.99,22.88,12.19,12.82,0.86,0.82,0.25,0.29
2022-12,26.44,24.45,13.0,13.13,0.8,0.81,0.31,0.29
2023-01,25.4,26.04,13.99,12.57,0.73,0.69,0.27,0.26
2023-02,30.64,27.7,13.52,12.2,0.66,0.64,0.18,0.2
2023-03,19.12,19.92,15.77,14.29,0.96,0.94,0.29,0.29
2023-04,12.32,18.7,12.27,13.52,0.96,0.96,0.25,0.3
2023-05,21.71,21.39,11.88,15.06,1.14,1.13,0.45,0.38
2023-06,24.86,26.21,11.47,13.85,0.98,1.01,0.5,0.44
2023-07,27.27,26.42,10.21,13.22,0.89,0.94,0.52,0.4
2023-08,43.55,38.9,10.76,12.57,0.89,0.88,0.56,0.5
2023-09,53.59,51.87,12.55,12.38,0.78,0.77,0.59,0.6
2023-10,53.79,53.9,37.34,43.0,1.35,1.37,1.12,1.03
2023-11,30.7,41.38,31.36,34.34,1.64,1.65,1.1,0.98
2023-12,28.93,26.6,16.91,18.45,1.17,1.27,0.57,0.56
2024-01,21.17,18.9,16.76,15.89,1.08,1.1,0.32,0.33
2024-02,18.29,18.09,15.67,14.69,1.17,1.12,0.28,0.32
2024-03,29.7,23.44,13.45,12.71,0.99,1.0,0.23,0.3
