month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,27.83,25.93,12.48,11.73,0.37,0.42,0.36,0.28
2014-02,15.73,16.96,12.33,12.27,0.55,0.56,0.38,0.34
2014-03,20.19,20.58,12.84,12.15,0.63,0.6,0.45,0.41
2014-04,23.1,19.49,12.73,12.15,0.73,0.7,0.49,0.41
2014-05,14.4,16.16,10.85,11.33,0.96,0.93,0.36,0.33
2014-06,16.29,16.91,9.89,9.74,0.88,0.85,0.34,0.33
2014-07,22.49,19.83,9.85,9.99,0.69,0.67,0.31,0.29
2014-08,17.72,15.06,9.99,9.52,0.83,0.76,0.48,0.42
2014-09,19.24,19.75,9.36,9.32,0.72,0.68,0.22,0.21
2014-10,30.74,27.89,16.42,14.99,0.71,0.68,0.31,0.29
2014-11,13.97,15.69,12.14,11.88,0.83,0.78,0.36,0.33
2014-12,9.78,14.16,13.35,12.81,0.82,0.78,0.46,0.39
2015-01,15.88,15.91,12.1,11.72,0.59,0.59,0.42,0.38
2015-02,21.76,19.65,13.39,12.49,0.65,0.62,0.42,0.37
2015-03,17.92,17.6,12.14,11.82,0.69,0.67,0.4,0.35
2015-04,17.41,17.26,11.27,10.98,0.87,0.83,0.46,0.39
2015-05,17.61,17.42,11.61,11.18,0.9,0.86,0.49,0.42
2015-06,19.82,19.53,9.89,9.47,0.9,0.84,0.36,0.35
2015-07,14.63,15.66,9.35,9.22,0.7,0.66,0.42,0.37
2015-08,16.24,16.13,10.11,9.57,0.69,0.68,0.45,0.39
2015-09,18.68,19.98,13.88,12.84,0.72,0.72,0.41,0.36
2015-10,34.09,31.73,20.05,17.95,0.73,0.69,0.4,0.36
2015-11,15.73,15.79,17.25,15.34,0.8,0.73,0.38,0.34
2015-12,12.77,13.37,14.88,13.93,0.57,0.58,0.44,0.43
2016-01,13.83,14.07,15.94,14.82,0.64,0.63,0.48,0.45
2016-02,13.02,14.95,13.97,13.69,0.59,0.6,0.52,0.5
2016-03,14.87,14.78,15.48,14.59,1.0,0.94,0.42,0.36
2016-04,11.08,13.02,14.33,13.52,1.11,1.05,0.42,0.36
2016-05,14.31,15.29,11.56,11.32,1.14,1.08,0.29,0.27
2016-06,19.51,18.9,10.98,10.03,1.05,0.96,0.53,0.47
2016-07,15.58,17.55,10.43,9.8,0.94,0.85,0.41,0.33
2016-08,15.57,16.96,9.15,9.05,0.82,0.77,0.47,0.38
2016-09,14.06,15.74,9.11,9.24,0.92,0.85,0.33,0.3
2016-10,18.35,18.81,10.68,9.97,1.05,0.94,0.41,0.36
2016-11,19.65,20.29,11.29,10.29,0.7,0.64,0.46,0.41
2016-12,15.54,15.87,11.89,11.46,0.68,0.64,0.25,0.25
2017-01,17.0,15.74,13.31,12.5,0.6,0.59,0.52,0.45
2017-02,18.56,17.87,12.79,12.3,0.64,0.62,0.43,0.41
2017-03,14.8,16.15,11.59,10.69,0.72,0.67,0.48,0.39
2017-04,16.49,16.53,12.95,12.01,0.79,0.71,0.3,0.29
