month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,9.73,5.25,13.18,12.96,0.44,0.43,0.47,0.49
2014-02,14.23,13.29,12.49,12.29,0.54,0.55,0.53,0.56
2014-03,19.18,20.15,11.3,11.09,0.54,0.54,0.52,0.54
2014-04,22.69,21.77,11.89,11.92,0.67,0.67,0.55,0.55
2014-05,13.81,13.8,10.9,10.48,0.95,0.89,0.37,0.38
2014-06,16.65,16.48,10.3,9.7,0.9,0.87,0.32,0.33
2014-07,21.99,20.76,9.89,9.86,0.72,0.71,0.33,0.33
2014-08,15.07,16.02,9.25,9.23,0.79,0.77,0.49,0.48
2014-09,24.28,24.44,8.73,8.62,0.7,0.67,0.25,0.26
2014-10,32.06,32.99,15.15,14.59,0.69,0.71,0.33,0.34
2014-11,9.62,11.15,11.62,10.95,0.82,0.78,0.46,0.41
2014-12,8.88,11.01,12.88,12.52,0.77,0.76,0.52,0.5
2015-01,15.23,16.86,13.62,12.63,0.64,0.6,0.65,0.61
2015-02,21.34,20.64,13.89,12.92,0.67,0.63,0.52,0.53
2015-03,16.18,17.26,12.05,11.43,0.71,0.67,0.49,0.48
2015-04,15.37,15.13,11.29,10.17,0.85,0.82,0.58,0.51
2015-05,15.73,15.22,11.16,10.36,0.84,0.79,0.47,0.44
2015-06,18.35,19.44,9.5,8.85,0.86,0.81,0.29,0.31
2015-07,12.75,12.63,8.99,8.63,0.67,0.62,0.41,0.36
2015-08,16.34,16.6,9.85,8.91,0.71,0.68,0.43,0.39
2015-09,17.75,16.61,12.64,11.14,0.7,0.67,0.45,0.42
2015-10,31.89,30.99,19.81,18.17,0.71,0.68,0.44,0.41
2015-11,12.35,12.28,16.49,14.83,0.8,0.76,0.48,0.44
2015-12,13.9,14.17,14.96,13.3,0.55,0.54,0.6,0.56
2016-01,14.34,15.47,15.46,13.63,0.6,0.56,0.57,0.55
2016-02,15.72,16.45,14.08,12.62,0.55,0.53,0.59,0.54
2016-03,18.4,16.81,14.05,12.88,0.81,0.75,0.47,0.45
2016-04,12.6,12.47,13.04,12.2,0.96,0.94,0.47,0.45
2016-05,12.0,13.2,12.03,10.83,1.13,1.03,0.29,0.3
2016-06,14.83,15.75,10.48,9.37,0.97,0.93,0.52,0.45
2016-07,16.02,17.63,9.93,9.06,0.88,0.8,0.43,0.41
2016-08,14.27,15.2,8.81,8.49,0.8,0.75,0.44,0.44
2016-09,13.81,17.38,8.89,9.02,0.9,0.85,0.33,0.35
2016-10,16.45,17.78,9.96,9.14,1.01,0.9,0.34,0.35
2016-11,16.37,17.87,10.83,9.51,0.73,0.68,0.47,0.41
2016-12,11.89,12.56,12.17,11.33,0.73,0.67,0.35,0.36
2017-01,15.01,16.35,12.86,12.08,0.63,0.61,0.64,0.58
2017-02,17.12,17.49,12.42,11.54,0.63,0.58,0.49,0.49
2017-03,12.9,13.55,12.42,11.6,0.77,0.72,0.49,0.48
2017-04,16.17,15.11,13.61,12.16,0.83,0.74,0.38,0.39
2017-05,13.42,14.56,12.22,11.45,1.04,0.96,0.37,0.37
2017-06,11.92,14.92,10.69,10.05,0.96,0.91,0.27,0.32
2017-07,16.57,18.86,9.71,9.28,0.79,0.73,0.28,0.3
2017-08,11.75,12.06,9.66,9.62,0.72,0.71,0.35,0.37
2017-09,14.46,15.96,9.42,9.3,0.75,0.72,0.39,0.4
2017-10,13.37,14.3,10.4,10.07,0.74,0.74,0.3,0.31
2017-11,12.36,13.45,13.97,12.62,0.92,0.84,0.38,0.37
2017-12,16.66,16.13,12.63,11.79,0.66,0.67,0.3,0.34
2018-01,11.21,13.4,12.96,12.23,0.7,0.66,0.54,0.55
2018-02,17.4,18.68,12.94,12.22,0.59,0.56,0.4,0.47
2018-03,21.68,21.92,11.18,11.46,0.59,0.61,0.37,0.43
2018-04,18.35,17.8,11.03,10.81,0.72,0.7,0.32,0.36
2018-05,14.48,17.88,9.85,9.46,0.94,0.85,0.2,0.24
2018-06,14.18,15.19,10.14,9.45,1.0,0.93,0.35,0.36
2018-07,15.93,17.29,9.68,9.11,0.87,0.82,0.33,0.37
2018-08,18.37,22.56,9.57,9.19,0.76,0.72,0.28,0.32
2018-09,24.25,24.94,9.82,9.48,0.72,0.67,0.23,0.26
2018-10,24.34,26.67,11.96,11.29,0.85,0.82,0.44,0.43
2018-11,16.38,16.34,11.58,11.21,0.78,0.77,0.28,0.33
2018-12,17.32,17.23,11.27,10.83,0.68,0.66,0.37,0.38
2019-01,18.23,17.7,12.27,12.33,0.59,0.59,0.55,0.59
2019-02,24.43,22.93,11.48,11.83,0.55,0.56,0.42,0.49
2019-03,15.0,14.21,12.66,11.83,0.7,0.67,0.36,0.39
2019-04,15.19,14.99,12.14,11.6,0.8,0.76,0.33,0.36
2019-05,17.25,14.63,11.75,11.2,0.76,0.74,0.37,0.4
2019-06,20.38,18.55,10.88,10.64,0.8,0.8,0.31,0.31
