month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,26.4,17.53,16.15,12.44,0.76,0.75,0.37,0.35
2014-02,20.55,22.01,13.43,11.13,0.71,0.65,0.22,0.27
2014-03,19.5,20.96,22.76,19.72,1.02,0.98,0.52,0.48
2014-04,15.96,20.0,13.63,13.52,1.2,1.06,0.39,0.37
2014-05,24.8,29.77,12.67,10.48,1.39,1.22,0.53,0.46
2014-06,28.66,31.44,12.04,10.24,1.24,1.13,0.65,0.57
2014-07,35.36,34.8,10.32,9.09,0.89,0.84,0.46,0.44
2014-08,41.46,43.44,11.23,9.14,0.89,0.78,0.58,0.51
2014-09,51.52,,13.23,11.84,0.71,0.68,0.71,0.67
2014-10,,,19.83,19.35,0.76,0.74,0.64,0.7
2014-11,25.83,29.26,22.98,19.72,1.2,1.02,0.45,0.42
2014-12,10.13,19.85,12.53,10.68,0.92,0.8,0.34,0.34
2015-01,13.52,16.18,12.33,10.64,0.78,0.72,0.36,0.37
2015-02,14.95,18.77,13.61,11.69,0.85,0.74,0.3,0.31
2015-03,14.69,17.67,11.57,10.63,0.95,0.86,0.36,0.34
2015-04,18.6,21.6,12.3,11.38,1.13,1.03,0.35,0.34
2015-05,41.18,37.97,11.04,9.5,1.12,1.04,0.52,0.47
2015-06,35.45,39.46,8.81,8.2,0.88,0.83,0.57,0.51
2015-07,47.34,,8.98,8.26,0.73,0.66,0.75,0.73
2015-08,,51.03,9.16,8.96,0.7,0.67,0.61,0.63
2015-09,52.53,53.2,16.74,14.35,0.72,0.68,0.74,0.73
2015-10,57.25,57.8,44.16,43.28,0.89,0.87,1.28,1.35
2015-11,34.58,38.32,27.85,27.71,0.99,0.88,0.56,0.58
2015-12,14.86,21.87,16.95,15.1,0.78,0.75,0.45,0.45
2016-01,19.92,25.89,18.84,15.86,0.79,0.73,0.42,0.43
2016-02,21.39,22.88,16.79,13.76,0.81,0.78,0.24,0.27
