month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,59.08,,26.59,28.23,1.09,1.15,0.5,0.74
2014-02,57.32,52.22,68.84,55.97,2.05,1.93,0.87,0.77
2014-03,53.19,51.19,57.14,47.85,2.8,2.42,0.69,0.69
2014-04,52.01,58.59,36.63,33.45,3.14,2.58,0.75,0.76
2014-05,52.61,54.69,31.15,31.83,3.27,2.93,0.7,0.92
2014-06,52.31,56.54,29.66,29.63,3.07,2.86,0.82,0.97
2014-07,53.8,61.25,26.69,25.03,1.98,1.78,0.85,0.81
2014-08,79.54,68.03,24.29,23.56,2.06,1.78,0.94,0.89
2014-09,230.38,164.14,24.55,20.86,1.53,1.25,1.51,1.29
2014-10,191.03,203.62,34.53,32.05,1.44,1.57,1.85,2.0
2014-11,122.63,114.54,66.66,57.39,2.76,2.44,1.52,1.57
2014-12,44.7,55.05,33.07,33.47,2.63,2.43,0.53,0.72
2015-01,48.31,57.34,34.45,31.21,2.38,2.08,0.64,0.74
2015-02,,58.78,45.57,36.06,3.04,2.34,0.67,0.65
2015-03,52.46,58.01,40.62,34.49,2.77,2.33,0.75,0.71
2015-04,52.77,56.65,34.07,31.45,2.97,2.54,0.5,0.78
2015-05,56.13,55.68,30.09,31.07,3.04,2.87,0.75,0.91
2015-06,52.68,59.62,25.47,27.72,2.78,2.67,0.86,0.96
2015-07,69.58,76.63,17.56,19.96,1.3,1.32,0.84,0.9
2015-08,143.83,141.64,18.61,18.06,1.27,1.16,1.23,1.13
2015-09,284.17,259.34,44.43,37.77,2.19,2.0,2.94,2.91
2015-10,396.11,351.15,78.33,60.57,2.9,2.64,4.03,4.1
2015-11,79.83,72.75,49.63,40.18,2.51,2.22,0.9,0.91
2015-12,55.02,56.28,42.35,35.88,2.25,2.0,0.65,0.75
2016-01,54.51,54.9,39.95,33.65,2.14,1.93,0.81,0.71
2016-02,52.88,55.14,56.91,39.6,2.82,2.19,0.88,0.73
2016-03,59.02,55.28,42.43,36.42,3.0,2.47,0.61,0.72
2016-04,53.53,53.7,35.37,35.47,3.22,2.82,0.62,0.79
2016-05,54.0,54.27,31.27,32.35,3.62,3.35,0.8,0.98
2016-06,51.96,57.36,29.68,29.37,3.06,2.79,0.87,0.96
2016-07,52.03,63.28,25.44,26.51,2.47,2.32,0.82,0.91
2016-08,58.69,69.15,20.39,23.61,1.72,1.77,0.86,0.9
2016-09,66.15,63.71,27.81,28.59,2.79,2.5,0.85,0.92
2016-10,59.27,56.97,28.16,30.34,2.9,2.7,0.7,0.89
2016-11,52.89,54.67,33.77,33.49,2.76,2.55,0.67,0.79
2016-12,46.38,56.75,26.38,30.61,2.09,2.26,0.54,0.79
2017-01,,55.76,35.28,33.98,1.9,1.88,0.61,0.7
2017-02,,58.09,29.56,30.9,2.01,1.93,0.63,0.74
2017-03,51.25,57.38,34.63,32.36,2.48,2.16,0.58,0.71
2017-04,51.93,54.65,38.23,35.06,2.71,2.31,0.59,0.7
2017-05,54.88,53.56,33.2,33.24,3.23,3.0,0.87,0.89
2017-06,52.76,56.45,32.94,29.61,3.29,2.71,0.76,0.92
2017-07,61.14,60.12,25.76,26.4,2.3,2.19,0.94,0.89
2017-08,58.96,62.29,29.83,26.83,2.37,2.05,0.98,0.86
2017-09,83.23,63.39,26.76,26.04,2.0,1.85,0.85,0.86
2017-10,64.33,61.88,30.97,28.43,1.94,1.86,0.99,0.85
2017-11,53.08,54.92,39.47,36.23,2.66,2.32,0.67,0.71
2017-12,46.38,55.04,34.09,31.69,2.1,1.97,0.59,0.75
2018-01,51.57,54.92,31.3,30.61,1.68,1.69,0.68,0.73
2018-02,,56.93,41.77,34.71,2.45,2.01,0.61,0.67
2018-03,52.38,56.37,36.98,34.55,2.64,2.31,0.68,0.69
2018-04,56.41,55.66,32.65,32.7,2.65,2.46,0.56,0.78
2018-05,55.57,56.91,31.05,30.74,3.17,2.85,0.82,0.91
2018-06,56.59,61.05,25.3,26.2,2.31,2.18,0.81,0.92
2018-07,64.32,66.15,24.48,24.19,2.17,1.97,0.92,0.89
2018-08,73.93,85.23,19.87,19.55,1.36,1.27,0.75,0.86
2018-09,156.11,125.72,21.49,20.43,1.42,1.31,1.07,1.08
2018-10,117.04,107.15,36.52,28.56,1.89,1.59,0.98,0.99
2018-11,52.82,53.99,34.73,34.06,2.32,2.08,0.75,0.74
2018-12,47.58,54.8,27.7,31.68,2.09,2.24,0.55,0.79
2019-01,43.85,57.2,35.51,33.23,2.15,1.96,0.78,0.73
2019-02,44.76,58.05,30.5,30.61,2.01,1.9,0.73,0.71
2019-03,53.97,57.09,38.5,33.42,2.3,2.03,0.75,0.75
2019-04,52.66,54.92,33.08,34.84,2.92,2.74,0.55,0.77
2019-05,58.07,56.72,25.62,29.44,2.2,2.32,0.81,0.89
2019-06,59.58,56.22,33.12,30.41,2.86,2.53,0.92,0.88
2019-07,68.33,75.79,15.87,17.54,1.05,1.03,0.71,0.84
2019-08,,102.34,18.58,18.06,1.12,1.03,0.87,0.84
2019-09,252.74,228.43,41.29,35.66,2.18,1.9,3.3,2.8
2019-10,140.92,,28.07,25.52,1.59,1.5,1.08,1.07
2019-11,99.63,76.76,41.66,34.74,1.53,1.46,1.01,0.88
2019-12,52.2,53.23,32.19,34.03,1.94,1.98,0.55,0.72
2020-01,45.71,53.49,31.51,32.83,2.09,2.1,0.78,0.78
2020-02,45.39,55.82,37.73,33.38,2.25,2.05,0.74,0.77
2020-03,,54.27,33.88,33.31,2.52,2.4,0.59,0.79
2020-04,52.72,54.53,37.36,33.7,2.87,2.46,0.67,0.76
2020-05,54.98,52.72,35.35,34.12,3.26,2.91,0.85,0.88
2020-06,52.6,58.82,28.43,28.83,2.86,2.71,1.09,0.97
2020-07,53.03,57.81,28.1,28.17,2.91,2.66,0.98,0.96
2020-08,55.66,67.68,24.26,25.05,2.22,2.05,0.98,0.91
2020-09,58.7,67.91,22.23,25.27,2.11,2.11,0.85,0.92
2020-10,55.05,63.78,29.02,27.62,1.91,1.84,0.83,0.83
2020-11,53.55,55.12,29.62,31.92,2.03,2.07,0.66,0.77
2020-12,45.84,57.61,30.71,30.66,1.68,1.67,0.56,0.73
2021-01,43.34,55.52,30.93,31.1,1.77,1.82,0.66,0.72
2021-02,,54.54,36.57,34.32,1.84,1.76,0.61,0.69
2021-03,54.18,59.19,32.18,32.19,2.25,2.05,0.57,0.72
2021-04,52.96,58.66,27.53,28.19,1.86,1.82,0.78,0.81
2021-05,54.42,56.24,29.69,30.34,2.58,2.53,0.81,0.89
2021-06,56.22,61.58,22.95,25.54,1.93,1.92,0.75,0.87
2021-07,56.59,63.79,24.62,24.75,1.92,1.8,0.84,0.84
2021-08,63.99,65.62,23.92,25.13,2.16,2.0,0.75,0.88
2021-09,65.64,59.61,32.2,29.19,2.72,2.33,0.83,0.84
2021-10,60.46,60.25,27.98,27.71,1.99,1.89,0.82,0.81
2021-11,51.67,54.87,27.85,32.2,2.66,2.65,0.61,0.84
2021-12,49.05,55.9,32.96,31.86,2.24,2.06,0.62,0.77
2022-01,47.15,54.25,35.99,32.98,2.03,1.88,0.73,0.67
2022-02,53.38,56.59,31.8,31.06,2.12,1.91,0.72,0.72
2022-03,52.41,57.88,30.53,30.65,2.52,2.28,0.62,0.77
2022-04,54.81,57.21,32.74,30.76,2.56,2.24,0.66,0.76
2022-05,54.73,56.1,33.06,32.19,3.16,2.8,0.96,0.9
2022-06,54.83,57.58,31.46,29.52,3.1,2.67,1.23,0.92
2022-07,55.15,59.49,29.02,28.58,2.5,2.35,0.84,0.88
2022-08,73.4,66.04,25.84,25.36,2.32,2.01,0.99,0.88
2022-09,58.64,63.12,25.33,27.12,2.13,2.09,0.82,0.86
2022-10,56.73,58.96,33.87,31.37,2.42,2.18,0.91,0.79
2022-11,,55.39,30.86,31.82,2.23,2.1,0.64,0.74
2022-12,,58.47,26.75,28.45,1.7,1.81,0.67,0.78
2023-01,48.76,55.66,29.04,27.49,1.67,1.5,0.79,0.79
2023-02,48.52,57.11,35.04,32.31,2.1,1.84,0.56,0.7
2023-03,53.33,57.91,35.44,34.12,2.68,2.36,0.6,0.71
2023-04,52.62,57.88,31.28,31.56,2.33,2.22,0.65,0.74
2023-05,56.86,54.87,30.12,30.39,2.29,2.35,0.89,0.87
2023-06,54.88,59.35,26.62,27.58,2.0,1.96,0.88,0.85
2023-07,81.49,65.38,28.21,27.51,2.12,1.93,1.07,0.87
2023-08,136.63,125.57,14.95,16.9,1.06,1.05,0.92,1.02
2023-09,195.01,166.7,26.5,25.05,1.68,1.39,1.56,1.46
2023-10,160.62,156.0,25.57,24.42,1.35,1.38,1.21,1.22
2023-11,63.59,65.14,31.55,30.95,1.73,1.81,0.67,0.81
2023-12,52.19,52.21,36.15,34.47,2.53,2.39,0.75,0.78
2024-01,46.73,55.04,33.41,34.04,2.21,2.23,0.91,0.81
2024-02,,55.17,29.48,31.08,2.01,2.11,0.7,0.79
2024-03,53.98,51.35,35.23,34.19,2.78,2.57,0.84,0.83
2024-04,,51.57,32.07,34.63,3.03,3.06,0.73,0.87
2024-05,53.76,51.96,29.34,32.79,3.13,3.31,1.0,1.01
2024-06,54.71,56.1,33.57,30.43,3.1,2.74,1.11,0.96
2024-07,58.52,58.56,26.36,26.24,2.06,2.03,1.06,0.91
2024-08,61.96,66.03,23.09,24.75,1.76,1.78,0.88,0.89
2024-09,78.34,73.01,22.34,23.32,1.5,1.56,1.1,0.92
2024-10,63.56,59.49,31.56,28.09,1.84,1.81,0.93,0.84
2024-11,,53.64,41.54,37.18,2.52,2.24,0.68,0.74
2024-12,,53.25,37.05,35.1,2.06,2.06,0.66,0.73
