month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,42.33,37.3,12.17,11.48,0.43,0.59,0.45,0.49
2014-02,33.57,31.61,17.86,14.3,0.81,0.81,0.5,0.53
2014-03,37.96,33.81,19.66,17.2,1.03,1.0,0.57,0.59
2014-04,24.56,29.13,17.38,19.04,1.2,1.22,0.53,0.55
2014-05,30.11,25.09,14.83,16.61,1.19,1.16,0.5,0.54
2014-06,48.38,49.76,14.82,18.36,1.09,1.15,0.83,0.81
2014-07,90.73,89.92,21.5,27.6,1.27,1.32,1.45,1.48
2014-08,41.56,53.96,23.99,26.5,1.27,1.26,0.87,0.88
2014-09,54.52,60.16,27.26,29.24,1.25,1.22,0.96,1.07
2014-10,49.21,49.32,31.49,31.48,1.15,1.17,0.67,0.68
2014-11,21.45,26.19,30.02,26.28,1.38,1.28,0.6,0.51
2014-12,21.24,26.74,16.45,17.72,1.34,1.23,0.56,0.55
2015-01,34.6,26.62,17.06,15.6,1.09,1.02,0.54,0.55
2015-02,37.05,32.52,16.08,14.85,0.91,0.89,0.4,0.56
2015-03,35.85,39.07,17.33,17.84,1.09,1.06,0.63,0.66
2015-04,26.02,35.73,17.94,19.61,1.36,1.28,0.65,0.63
2015-05,29.28,28.31,14.28,17.36,1.15,1.17,0.46,0.56
2015-06,29.17,32.01,12.31,14.57,1.02,1.03,0.67,0.59
2015-07,53.33,58.08,17.57,19.85,1.03,1.07,0.9,0.93
2015-08,61.07,63.16,29.11,32.35,1.14,1.18,0.98,1.08
2015-09,102.54,112.71,96.44,105.81,1.53,1.37,2.39,1.57
2015-10,65.34,62.35,72.36,67.99,1.11,1.07,0.79,0.61
2015-11,23.14,23.92,21.44,21.61,1.15,1.13,0.57,0.5
2015-12,29.13,26.14,17.52,16.2,0.92,1.0,0.75,0.54
2016-01,22.88,29.24,18.95,15.62,0.84,0.89,0.73,0.55
2016-02,32.25,28.45,16.9,15.13,0.84,0.87,0.52,0.52
2016-03,26.45,26.21,18.04,16.92,0.97,0.98,0.47,0.55
2016-04,24.98,28.39,22.02,20.89,1.26,1.27,0.62,0.55
2016-05,23.7,22.32,15.21,17.23,1.18,1.18,0.54,0.52
2016-06,32.17,29.7,11.13,14.28,1.03,1.04,0.51,0.58
2016-07,31.72,34.74,11.88,14.38,1.13,1.08,0.61,0.63
2016-08,56.1,56.64,12.7,17.32,1.1,1.1,0.81,0.99
2016-09,35.46,37.02,12.37,16.36,1.22,1.2,0.64,0.65
2016-10,37.12,34.22,12.43,15.08,1.15,1.12,0.64,0.62
2016-11,20.95,25.18,13.77,16.04,1.15,1.13,0.52,0.54
2016-12,19.87,23.6,16.4,15.89,1.12,1.06,0.53,0.52
2017-01,25.24,28.02,18.14,16.77,0.97,1.01,0.53,0.54
2017-02,28.62,27.96,15.49,14.86,0.99,0.94,0.38,0.53
2017-03,24.05,26.36,15.66,16.1,1.11,1.09,0.44,0.55
2017-04,18.93,24.28,16.13,17.08,1.11,1.13,0.37,0.53
2017-05,17.99,23.63,13.98,17.34,1.2,1.2,0.52,0.54
2017-06,26.89,29.5,11.85,14.55,1.09,1.08,0.58,0.59
2017-07,28.7,31.55,12.14,13.83,0.95,0.96,0.69,0.58
2017-08,27.65,28.54,12.83,14.85,1.08,1.06,0.52,0.57
2017-09,36.05,32.75,13.66,15.34,1.08,1.06,0.46,0.6
2017-10,37.01,30.25,12.44,13.61,0.92,0.94,0.47,0.55
2017-11,21.98,22.79,18.18,16.94,1.31,1.17,0.51,0.52
2017-12,31.6,30.36,17.73,17.13,1.02,1.05,0.64,0.57
2018-01,19.86,21.88,18.2,17.67,1.28,1.19,0.47,0.51
2018-02,35.75,31.33,16.66,15.07,0.92,0.89,0.34,0.53
2018-03,28.91,27.8,18.21,17.68,1.07,1.11,0.49,0.54
2018-04,27.98,27.98,17.42,18.54,1.18,1.17,0.44,0.55
2018-05,22.3,25.13,19.96,18.67,1.29,1.23,0.48,0.54
2018-06,28.27,28.94,13.26,16.0,1.11,1.11,0.53,0.57
2018-07,44.94,49.13,12.94,16.16,1.03,1.08,0.76,0.79
2018-08,75.37,86.52,25.4,32.49,1.37,1.37,1.42,1.8
2018-09,47.01,45.23,15.67,19.2,1.04,1.08,0.5,0.72
2018-10,25.04,23.83,21.24,18.52,1.11,1.09,0.48,0.52
2018-11,21.22,22.28,16.91,17.03,1.08,1.08,0.46,0.52
2018-12,19.21,23.87,15.28,15.89,1.08,1.08,0.53,0.51
2019-01,31.83,29.27,15.24,14.13,0.87,0.87,0.58,0.54
2019-02,29.72,32.15,17.96,16.65,0.92,0.92,0.53,0.57
2019-03,28.35,32.72,19.0,18.29,1.04,1.03,0.51,0.59
2019-04,22.87,25.52,16.06,18.09,1.08,1.12,0.4,0.53
2019-05,30.63,34.42,18.76,18.26,1.03,1.09,0.75,0.65
2019-06,32.26,25.93,13.63,16.08,0.95,1.01,0.47,0.53
2019-07,37.43,34.57,13.4,13.09,0.81,0.83,0.56,0.57
2019-08,68.37,75.17,28.72,32.08,1.14,1.2,1.19,1.39
2019-09,123.99,132.28,83.27,90.74,1.43,1.39,2.43,1.61
2019-10,22.13,24.23,16.79,19.11,1.07,1.09,0.42,0.5
2019-11,26.4,26.37,25.71,21.22,1.08,1.09,0.49,0.53
