month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,34.7,25.07,14.08,13.31,0.41,0.48,0.48,0.48
2014-02,16.53,18.46,14.29,13.59,0.57,0.56,0.43,0.44
2014-03,21.28,20.47,12.78,12.41,0.56,0.55,0.44,0.43
2014-04,22.39,20.41,12.06,12.63,0.62,0.63,0.58,0.56
2014-05,16.79,16.43,11.6,11.32,0.86,0.81,0.24,0.27
2014-06,23.42,20.4,9.7,9.72,0.72,0.71,0.24,0.26
2014-07,27.96,27.29,9.45,9.37,0.52,0.51,0.24,0.24
2014-08,20.36,19.08,10.24,9.72,0.71,0.66,0.4,0.37
2014-09,35.09,32.96,8.64,8.83,0.58,0.57,0.19,0.23
2014-10,41.16,39.75,16.79,16.67,0.68,0.68,0.3,0.3
2014-11,17.45,21.26,13.34,12.24,0.82,0.72,0.37,0.32
2014-12,11.31,15.65,13.64,12.6,0.8,0.72,0.46,0.4
2015-01,18.16,18.73,14.04,13.43,0.6,0.56,0.57,0.49
2015-02,24.94,23.69,14.6,13.54,0.63,0.58,0.42,0.41
2015-03,23.93,23.6,13.11,12.47,0.69,0.65,0.41,0.4
2015-04,15.46,16.02,11.32,10.79,0.77,0.73,0.42,0.37
2015-05,16.36,16.65,10.87,10.7,0.73,0.7,0.36,0.36
2015-06,20.64,20.96,8.86,8.97,0.71,0.67,0.22,0.25
2015-07,19.08,20.85,9.21,9.18,0.59,0.56,0.38,0.34
2015-08,27.34,26.48,8.48,8.34,0.52,0.5,0.3,0.25
2015-09,44.59,42.98,13.42,13.06,0.56,0.54,0.26,0.25
2015-10,53.6,52.12,21.15,20.97,0.68,0.64,0.32,0.29
2015-11,13.99,15.8,17.03,15.16,0.77,0.71,0.4,0.33
2015-12,15.28,14.92,14.46,12.81,0.53,0.5,0.47,0.4
2016-01,15.53,15.61,14.03,12.43,0.5,0.48,0.44,0.39
2016-02,15.8,17.11,14.37,12.64,0.56,0.5,0.51,0.43
2016-03,13.8,14.57,12.86,11.74,0.72,0.63,0.39,0.36
2016-04,10.94,14.06,13.19,12.12,0.85,0.76,0.39,0.35
2016-05,12.07,12.38,13.13,11.65,1.07,0.9,0.34,0.28
