month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,4.67,10.18,11.83,12.79,0.4,0.41,0.49,0.56
2014-02,14.88,15.62,13.52,13.58,0.55,0.56,0.6,0.64
2014-03,20.17,21.3,10.98,10.79,0.51,0.52,0.45,0.48
2014-04,20.11,18.49,12.2,11.79,0.64,0.64,0.5,0.47
2014-05,13.82,14.95,11.41,11.12,0.9,0.83,0.31,0.32
2014-06,17.34,17.71,10.53,10.08,0.87,0.83,0.28,0.27
2014-07,21.16,21.19,9.6,9.08,0.67,0.62,0.31,0.3
2014-08,17.35,18.21,8.97,8.61,0.72,0.68,0.41,0.37
2014-09,27.53,30.8,8.79,8.58,0.68,0.64,0.23,0.24
2014-10,30.5,30.56,15.19,15.38,0.68,0.67,0.3,0.3
2014-11,10.33,13.24,11.59,11.2,0.77,0.74,0.45,0.42
2014-12,10.04,12.32,12.64,12.11,0.74,0.7,0.52,0.5
2015-01,15.99,17.35,14.0,12.97,0.62,0.6,0.7,0.66
2015-02,22.65,20.73,13.82,12.89,0.65,0.61,0.54,0.52
2015-03,18.84,17.9,11.73,11.4,0.67,0.66,0.44,0.42
2015-04,14.28,13.53,11.56,11.33,0.8,0.79,0.56,0.53
2015-05,14.72,15.41,11.33,10.87,0.78,0.75,0.39,0.37
2015-06,20.28,19.46,9.72,9.0,0.85,0.73,0.25,0.26
2015-07,13.67,13.47,8.4,8.39,0.6,0.57,0.38,0.33
2015-08,16.54,17.11,9.68,8.68,0.68,0.62,0.39,0.36
2015-09,24.29,22.11,12.9,11.63,0.66,0.62,0.39,0.38
2015-10,33.85,31.41,19.99,17.59,0.69,0.61,0.43,0.37
2015-11,11.55,10.09,16.35,14.34,0.75,0.7,0.44,0.38
2015-12,16.96,17.73,14.17,11.78,0.52,0.46,0.6,0.52
2016-01,18.94,19.38,14.06,11.79,0.51,0.47,0.53,0.46
2016-02,21.45,22.04,12.79,10.73,0.46,0.41,0.51,0.48
2016-03,22.06,21.8,11.86,10.49,0.61,0.54,0.42,0.39
2016-04,16.35,16.49,12.42,11.44,0.86,0.8,0.44,0.38
2016-05,13.01,14.06,12.2,10.87,1.08,0.93,0.28,0.25
2016-06,10.8,13.7,11.07,10.11,0.95,0.85,0.49,0.39
2016-07,14.51,14.13,9.92,8.8,0.83,0.7,0.4,0.34
2016-08,16.3,15.95,8.73,8.37,0.75,0.66,0.36,0.34
2016-09,13.85,16.13,9.13,8.76,0.86,0.74,0.28,0.28
2016-10,15.26,15.01,9.87,9.27,0.93,0.79,0.29,0.29
2016-11,15.78,17.15,10.81,9.9,0.74,0.68,0.41,0.37
2016-12,11.97,13.79,12.42,11.21,0.71,0.65,0.43,0.42
2017-01,15.28,17.28,12.11,11.28,0.58,0.55,0.62,0.58
2017-02,16.35,17.17,11.61,10.93,0.58,0.55,0.44,0.46
2017-03,13.24,14.44,13.05,11.35,0.78,0.69,0.36,0.4
2017-04,16.56,17.21,12.98,11.52,0.75,0.69,0.37,0.37
2017-05,15.08,17.55,12.3,11.39,0.99,0.87,0.31,0.3
2017-06,10.11,14.65,10.94,9.91,0.92,0.82,0.28,0.27
2017-07,14.72,17.25,9.46,8.88,0.74,0.67,0.26,0.28
2017-08,9.44,13.43,9.4,8.88,0.68,0.62,0.26,0.25
2017-09,12.08,14.44,9.92,9.2,0.77,0.69,0.37,0.33
2017-10,11.82,13.66,10.15,9.31,0.68,0.63,0.26,0.28
2017-11,12.41,13.77,13.45,11.76,0.82,0.72,0.42,0.42
2017-12,14.21,16.55,12.7,11.49,0.63,0.6,0.36,0.38
2018-01,11.36,14.08,12.83,11.86,0.66,0.61,0.57,0.57
2018-02,15.54,16.58,13.0,11.79,0.56,0.53,0.44,0.47
2018-03,22.77,22.54,11.43,11.15,0.58,0.56,0.41,0.47
2018-04,18.57,18.0,11.69,10.97,0.72,0.66,0.32,0.34
2018-05,13.12,16.27,10.04,9.23,0.88,0.75,0.18,0.23
2018-06,13.95,16.22,10.18,9.36,0.97,0.84,0.31,0.31
2018-07,17.03,19.45,9.54,9.14,0.81,0.75,0.27,0.28
2018-08,18.22,22.1,9.65,9.04,0.75,0.68,0.26,0.27
2018-09,23.75,29.01,9.86,9.18,0.71,0.62,0.21,0.23
2018-10,19.24,21.72,11.06,10.75,0.77,0.73,0.38,0.37
2018-11,12.24,15.32,11.59,11.41,0.76,0.72,0.32,0.33
2018-12,16.37,16.91,11.25,10.45,0.67,0.61,0.38,0.38
2019-01,18.8,20.97,11.79,10.9,0.56,0.53,0.55,0.55
2019-02,27.58,27.61,9.98,9.86,0.46,0.48,0.36,0.44
2019-03,16.36,16.32,13.4,12.14,0.72,0.66,0.35,0.37
2019-04,15.57,16.79,12.92,11.96,0.8,0.73,0.31,0.34
2019-05,12.59,13.52,11.65,11.15,0.7,0.65,0.28,0.32
2019-06,17.81,18.77,11.21,10.5,0.81,0.71,0.24,0.28
2019-07,18.62,18.25,9.27,9.23,0.63,0.61,0.3,0.32
2019-08,18.86,17.59,9.8,9.2,0.6,0.56,0.23,0.28
2019-09,21.46,20.16,12.22,11.43,0.61,0.58,0.28,0.3
2019-10,10.17,10.41,9.57,9.44,0.67,0.62,0.24,0.26
2019-11,23.19,23.41,11.6,10.83,0.56,0.53,0.22,0.29
2019-12,14.36,14.7,12.21,11.39,0.63,0.59,0.42,0.45
2020-01,17.05,18.68,10.66,10.64,0.48,0.51,0.46,0.51
2020-02,21.88,22.39,11.73,11.32,0.54,0.53,0.54,0.55
2020-03,19.41,19.41,12.43,11.16,0.74,0.66,0.36,0.37
2020-04,12.79,14.72,12.44,11.57,0.75,0.7,0.32,0.35
2020-05,12.93,16.57,12.51,12.02,0.93,0.88,0.28,0.3
2020-06,13.7,14.69,10.61,10.21,0.99,0.91,0.29,0.31
2020-07,13.67,14.26,8.96,8.41,0.78,0.71,0.3,0.31
2020-08,11.96,13.84,9.27,8.88,0.81,0.73,0.39,0.34
2020-09,14.32,16.64,7.86,7.72,0.64,0.61,0.31,0.32
2020-10,14.59,15.83,8.72,8.53,0.61,0.59,0.29,0.3
2020-11,12.71,13.43,10.12,9.57,0.62,0.59,0.31,0.31
2020-12,12.7,14.75,10.82,10.55,0.58,0.56,0.38,0.4
2021-01,18.75,19.53,10.47,10.55,0.57,0.56,0.44,0.49
2021-02,20.13,19.77,11.89,11.07,0.55,0.54,0.54,0.53
2021-03,13.11,15.88,11.51,10.97,0.71,0.65,0.37,0.41
2021-04,16.96,17.45,12.02,11.38,0.69,0.67,0.35,0.38
2021-05,18.67,18.24,11.02,10.51,0.86,0.79,0.24,0.27
2021-06,11.54,14.45,10.03,9.27,0.77,0.71,0.29,0.3
2021-07,16.22,17.17,9.2,8.6,0.71,0.64,0.33,0.32
2021-08,13.24,15.09,8.49,8.45,0.67,0.63,0.32,0.33
2021-09,15.97,18.16,9.04,8.81,0.72,0.66,0.27,0.29
2021-10,11.31,12.61,9.04,8.87,0.71,0.67,0.26,0.29
2021-11,14.82,14.97,9.31,8.7,0.76,0.67,0.33,0.33
2021-12,21.24,21.86,10.46,10.5,0.65,0.63,0.43,0.41
2022-01,18.8,20.78,10.19,10.4,0.52,0.53,0.56,0.57
2022-02,28.25,28.82,10.08,10.29,0.58,0.56,0.49,0.5
2022-03,16.86,16.29,10.83,10.03,0.77,0.7,0.28,0.31
2022-04,17.55,18.22,10.4,9.72,0.79,0.7,0.28,0.29
2022-05,13.68,14.42,10.54,9.86,0.9,0.83,0.3,0.3
2022-06,15.71,17.36,7.85,7.63,0.7,0.65,0.3,0.31
2022-07,17.5,18.66,9.44,9.25,0.81,0.74,0.32,0.32
2022-08,17.52,18.68,7.87,7.73,0.68,0.64,0.38,0.34
2022-09,18.32,19.8,7.87,7.71,0.67,0.63,0.44,0.42
