month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,43.73,,13.28,12.15,0.63,0.62,0.68,0.49
2014-02,42.55,40.73,15.86,13.67,0.75,0.74,0.54,0.53
2014-03,35.57,35.19,16.0,13.72,0.79,0.76,0.55,0.5
2014-04,20.08,25.67,14.76,15.24,0.95,0.94,0.54,0.55
2014-05,25.1,26.07,13.16,13.85,1.01,0.98,0.7,0.65
2014-06,37.83,40.76,12.94,14.01,0.94,0.92,0.91,0.77
2014-07,43.38,45.8,14.82,12.23,0.86,0.84,0.87,0.79
2014-08,39.06,38.08,14.93,13.64,0.96,0.9,0.79,0.73
2014-09,58.06,58.31,19.15,21.63,0.99,0.93,0.95,0.94
2014-10,49.51,48.14,24.63,21.23,1.14,1.03,0.91,0.78
2014-11,18.42,27.32,23.71,15.92,1.26,1.14,0.91,0.77
2014-12,27.63,31.62,14.67,13.55,0.98,0.96,0.75,0.71
2015-01,48.72,45.55,13.51,12.53,0.8,0.74,0.64,0.67
2015-02,41.58,40.38,14.06,13.39,0.81,0.76,0.43,0.51
2015-03,34.18,36.26,14.48,14.25,0.87,0.83,0.59,0.54
2015-04,23.11,30.36,14.62,14.69,1.02,0.97,0.69,0.65
2015-05,22.55,27.01,12.66,14.09,0.99,0.96,0.61,0.62
2015-06,28.5,33.57,10.75,13.05,0.96,0.93,0.75,0.69
2015-07,41.06,41.92,13.49,12.79,0.85,0.81,0.79,0.69
2015-08,54.32,,20.51,18.62,0.99,0.93,0.89,0.84
2015-09,92.8,102.2,80.91,87.31,1.47,1.35,2.42,2.01
2015-10,73.18,76.29,72.34,69.27,1.13,1.1,1.14,1.0
2015-11,24.27,25.98,20.41,15.92,0.95,0.97,0.71,0.62
2015-12,36.24,41.63,15.03,12.19,0.78,0.83,0.95,0.77
2016-01,21.86,36.78,15.66,12.21,0.69,0.74,0.71,0.59
2016-02,40.94,38.83,13.74,12.35,0.64,0.69,0.54,0.5
2016-03,23.24,27.17,15.05,14.05,0.85,0.84,0.45,0.48
2016-04,25.21,27.93,16.97,16.54,1.06,1.02,0.75,0.61
2016-05,20.63,22.44,14.72,15.42,1.14,1.1,0.65,0.61
2016-06,28.6,31.1,10.7,13.02,0.99,0.96,0.7,0.69
2016-07,28.36,35.53,10.42,11.91,0.93,0.88,0.86,0.76
2016-08,,45.34,10.73,12.01,0.87,0.82,0.81,0.77
2016-09,38.15,40.04,10.57,14.87,1.06,0.98,0.87,0.77
2016-10,42.88,39.49,11.97,13.75,1.12,1.01,0.96,0.86
2016-11,21.03,25.45,14.67,14.42,1.19,1.11,0.84,0.75
2016-12,27.17,31.88,15.88,13.34,1.0,0.98,0.9,0.79
2017-01,26.1,32.62,16.75,12.66,0.82,0.84,0.78,0.68
2017-02,40.4,37.41,15.05,14.72,0.97,0.9,0.63,0.61
2017-03,29.21,29.89,15.02,14.94,0.99,0.94,0.54,0.57
2017-04,18.64,22.94,15.62,15.36,1.04,1.03,0.46,0.56
2017-05,24.4,23.5,14.52,15.44,1.19,1.1,0.75,0.65
2017-06,27.98,31.02,10.41,12.68,0.97,0.95,0.73,0.71
2017-07,31.05,40.97,9.73,11.38,0.88,0.85,0.89,0.79
2017-08,31.45,34.7,11.24,12.54,0.9,0.86,0.72,0.67
2017-09,30.21,30.04,11.69,13.31,1.0,0.93,0.63,0.65
2017-10,32.22,34.67,13.91,14.07,1.14,1.03,0.88,0.79
2017-11,25.25,27.16,17.7,14.95,1.11,1.07,0.84,0.74
2017-12,40.71,44.93,15.67,14.06,0.87,0.89,0.9,0.76
2018-01,32.15,35.51,15.68,13.17,0.99,0.91,0.78,0.68
2018-02,43.42,41.87,14.68,13.77,0.82,0.79,0.53,0.54
2018-03,33.94,30.54,16.96,15.81,0.99,0.95,0.58,0.55
2018-04,27.3,27.17,15.64,15.57,0.99,0.96,0.55,0.55
2018-05,19.52,22.98,15.65,15.89,1.21,1.11,0.56,0.58
2018-06,30.88,32.78,11.18,13.45,1.03,0.99,0.72,0.71
2018-07,42.04,45.01,9.85,11.88,0.82,0.8,0.75,0.7
2018-08,51.93,54.86,13.2,16.01,0.88,0.84,0.94,0.84
2018-09,46.17,44.69,13.05,14.58,1.01,0.93,0.67,0.71
2018-10,26.6,27.82,18.15,15.18,1.17,1.08,0.71,0.67
2018-11,22.42,26.19,16.16,14.11,1.03,1.0,0.69,0.66
2018-12,23.28,29.08,13.82,13.17,0.94,0.92,0.85,0.73
2019-01,39.72,44.73,12.64,11.34,0.69,0.72,0.62,0.62
2019-02,21.31,30.93,12.47,12.89,0.73,0.75,0.43,0.48
2019-03,18.63,27.81,15.36,13.87,0.87,0.84,0.46,0.48
2019-04,26.75,27.21,14.22,15.78,0.95,0.96,0.53,0.54
2019-05,27.32,28.75,14.16,14.35,0.98,0.97,0.8,0.68
2019-06,32.51,27.8,12.2,13.49,0.9,0.92,0.55,0.61
2019-07,41.35,44.32,10.62,11.48,0.68,0.7,0.67,0.62
2019-08,56.15,57.22,19.21,18.33,0.79,0.78,0.9,0.79
2019-09,89.98,85.55,52.61,51.17,1.05,1.02,1.37,1.34
2019-10,18.67,25.51,14.68,15.79,1.03,1.0,0.66,0.62
2019-11,33.64,31.93,19.56,14.99,1.01,0.98,0.72,0.69
2019-12,39.62,41.76,11.44,11.67,0.75,0.76,0.78,0.68
2020-01,32.74,37.51,12.17,11.96,0.71,0.74,0.67,0.61
2020-02,35.64,32.03,12.82,12.63,0.71,0.74,0.4,0.45
2020-03,21.28,24.4,14.11,14.78,0.9,0.91,0.45,0.49
2020-04,22.35,24.43,14.88,14.47,0.88,0.91,0.53,0.53
2020-05,19.85,21.73,15.15,15.3,1.01,1.02,0.44,0.54
2020-06,23.44,26.68,11.49,13.7,1.04,0.99,0.65,0.66
2020-07,21.44,27.02,10.88,13.12,1.03,0.99,0.81,0.72
