month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,13.17,12.39,6.59,5.78,0.4,0.42,0.3,0.26
2014-02,29.31,29.93,11.42,9.96,0.65,0.63,0.3,0.3
2014-03,33.52,32.29,12.43,12.05,0.78,0.78,0.57,0.58
2014-04,17.22,19.83,11.59,11.0,0.95,0.9,0.49,0.47
2014-05,29.93,29.79,10.94,9.88,1.07,1.01,0.42,0.42
2014-06,42.99,38.25,9.93,8.7,0.98,0.9,0.45,0.39
2014-07,44.26,44.9,6.42,6.0,0.58,0.59,0.26,0.25
2014-08,44.93,45.62,7.14,6.84,0.64,0.62,0.29,0.28
2014-09,39.91,40.23,8.31,7.07,0.58,0.57,0.32,0.29
2014-10,37.79,36.19,13.63,12.3,0.72,0.68,0.37,0.36
2014-11,30.21,31.78,13.21,12.24,0.77,0.73,0.36,0.35
2014-12,12.96,15.26,12.95,11.42,0.89,0.81,0.69,0.62
2015-01,15.7,18.83,9.96,8.68,0.64,0.61,0.49,0.44
2015-02,20.98,23.42,12.05,10.8,0.72,0.69,0.38,0.34
2015-03,17.31,19.31,11.7,10.0,0.86,0.8,0.53,0.47
2015-04,26.44,24.07,12.55,11.13,0.98,0.86,0.49,0.43
2015-05,42.56,39.63,9.36,7.9,0.88,0.79,0.34,0.32
2015-06,34.62,36.19,7.49,6.99,0.71,0.69,0.29,0.29
2015-07,38.39,39.15,7.67,6.71,0.64,0.6,0.41,0.32
2015-08,38.24,39.89,7.49,6.62,0.59,0.57,0.33,0.29
2015-09,33.01,35.98,11.1,9.06,0.65,0.62,0.34,0.31
2015-10,43.96,45.37,24.99,20.85,0.78,0.71,0.45,0.36
2015-11,28.13,32.94,17.44,15.27,0.65,0.62,0.35,0.3
2015-12,18.26,21.24,11.34,9.44,0.57,0.55,0.4,0.38
2016-01,28.65,30.9,16.19,13.39,0.66,0.61,0.51,0.44
2016-02,17.34,18.25,13.24,10.79,0.72,0.69,0.41,0.38
2016-03,17.11,20.54,13.95,12.41,0.88,0.84,0.43,0.4
2016-04,31.42,30.65,12.45,11.24,0.98,0.97,0.48,0.47
2016-05,29.27,32.68,10.41,8.93,0.96,0.89,0.34,0.33
2016-06,27.16,28.24,10.09,9.46,1.03,0.95,0.45,0.42
2016-07,36.49,38.3,7.84,7.01,0.83,0.75,0.38,0.34
2016-08,42.5,44.61,7.68,7.01,0.75,0.72,0.34,0.31
2016-09,37.82,37.68,8.1,7.64,0.85,0.8,0.26,0.29
2016-10,36.86,38.95,10.91,9.86,1.04,0.96,0.4,0.39
2016-11,25.0,27.37,10.61,9.02,0.81,0.75,0.44,0.4
2016-12,23.94,27.03,8.87,7.48,0.59,0.55,0.55,0.47
2017-01,18.59,23.97,9.4,7.3,0.56,0.46,0.49,0.36
2017-02,16.87,21.99,8.69,7.25,0.63,0.54,0.39,0.32
2017-03,31.95,33.23,11.63,10.2,0.79,0.76,0.44,0.42
2017-04,32.89,32.11,11.32,10.01,0.84,0.79,0.52,0.5
2017-05,41.44,40.6,7.18,7.08,0.72,0.71,0.24,0.26
2017-06,37.3,38.6,9.17,8.07,0.83,0.78,0.37,0.34
2017-07,49.09,47.9,6.49,6.21,0.61,0.61,0.29,0.27
2017-08,48.29,49.53,6.65,6.3,0.57,0.55,0.28,0.26
2017-09,49.45,48.17,8.19,7.24,0.63,0.59,0.31,0.29
2017-10,30.72,33.2,9.54,8.24,0.7,0.64,0.27,0.28
2017-11,33.24,30.61,13.1,11.86,0.82,0.78,0.42,0.41
2017-12,18.88,20.97,11.59,10.0,0.74,0.68,0.66,0.57
2018-01,24.99,24.82,11.39,9.94,0.66,0.61,0.41,0.38
2018-02,7.75,13.19,10.23,9.02,0.78,0.71,0.4,0.37
2018-03,20.15,20.91,10.8,9.65,0.79,0.77,0.46,0.43
2018-04,,46.46,10.26,9.28,0.8,0.77,0.39,0.36
2018-05,44.1,39.88,9.29,8.43,0.79,0.74,0.29,0.29
2018-06,37.19,38.3,7.38,6.96,0.67,0.66,0.31,0.3
2018-07,32.05,34.56,6.65,6.2,0.61,0.59,0.27,0.26
2018-08,37.55,38.0,6.54,6.02,0.54,0.54,0.24,0.23
2018-09,42.9,42.57,8.01,7.02,0.63,0.59,0.33,0.3
2018-10,29.44,31.5,11.32,10.04,0.74,0.69,0.28,0.28
2018-11,21.99,25.78,10.58,9.51,0.71,0.69,0.36,0.35
2018-12,17.95,21.63,8.15,7.21,0.55,0.55,0.49,0.4
2019-01,22.95,26.06,8.76,7.77,0.62,0.56,0.56,0.47
2019-02,26.61,27.19,8.91,7.63,0.64,0.58,0.35,0.31
2019-03,24.62,26.35,11.32,10.19,0.74,0.71,0.39,0.37
2019-04,49.61,44.24,9.38,8.52,0.8,0.77,0.49,0.44
2019-05,45.72,42.62,7.13,6.65,0.66,0.63,0.25,0.26
2019-06,38.29,38.65,7.35,6.92,0.64,0.63,0.29,0.28
2019-07,38.75,40.3,6.12,5.78,0.57,0.56,0.33,0.28
2019-08,51.27,,7.49,7.03,0.56,0.55,0.25,0.26
2019-09,42.57,42.1,9.18,7.77,0.56,0.56,0.26,0.26
2019-10,42.49,39.33,10.57,9.62,0.63,0.61,0.34,0.32
2019-11,33.11,34.25,10.86,9.49,0.62,0.61,0.41,0.38
2019-12,30.11,28.87,12.75,11.5,0.8,0.77,0.63,0.6
2020-01,16.44,18.15,10.22,9.15,0.64,0.62,0.5,0.45
2020-02,14.34,15.23,11.49,10.74,0.79,0.8,0.38,0.4
2020-03,19.26,17.92,12.34,11.43,0.93,0.95,0.48,0.5
2020-04,21.8,23.69,10.62,10.25,0.85,0.87,0.4,0.44
2020-05,42.44,39.49,9.7,8.85,0.8,0.81,0.3,0.32
2020-06,32.3,34.63,6.8,6.53,0.68,0.68,0.29,0.29
2020-07,34.7,37.67,6.51,6.29,0.65,0.63,0.29,0.27
2020-08,27.55,30.9,6.85,6.66,0.68,0.68,0.37,0.33
2020-09,44.38,45.35,6.53,6.31,0.55,0.56,0.25,0.26
2020-10,37.44,39.19,9.02,7.72,0.64,0.58,0.32,0.29
2020-11,32.3,32.4,9.71,8.79,0.59,0.59,0.34,0.33
2020-12,34.82,34.86,8.93,7.77,0.55,0.48,0.51,0.4
2021-01,23.4,24.13,11.06,8.86,0.6,0.51,0.48,0.37
2021-02,18.03,22.02,8.66,7.16,0.56,0.49,0.27,0.23
2021-03,17.83,19.65,11.3,9.73,0.76,0.73,0.45,0.4
2021-04,30.99,30.85,9.31,8.35,0.69,0.64,0.38,0.35
2021-05,26.75,31.47,9.27,8.42,0.82,0.78,0.33,0.34
2021-06,25.45,27.46,9.2,8.93,0.85,0.86,0.43,0.43
2021-07,30.81,36.18,6.27,6.11,0.59,0.59,0.35,0.3
2021-08,46.77,44.89,6.77,6.34,0.59,0.57,0.27,0.27
2021-09,,,7.3,6.9,0.58,0.57,0.29,0.28
2021-10,29.05,33.52,8.62,7.76,0.61,0.59,0.3,0.29
2021-11,20.94,24.28,10.45,9.7,0.86,0.83,0.53,0.51
2021-12,21.85,24.56,11.34,9.92,0.72,0.67,0.62,0.57
2022-01,22.77,26.59,7.44,6.47,0.49,0.46,0.42,0.35
2022-02,33.14,32.93,10.59,8.93,0.64,0.59,0.25,0.23
2022-03,37.77,36.63,10.92,10.49,0.8,0.78,0.56,0.54
2022-04,27.34,28.91,9.98,9.34,0.84,0.82,0.41,0.4
2022-05,30.82,32.7,9.75,8.8,0.84,0.84,0.4,0.39
2022-06,33.09,34.21,9.2,8.76,0.91,0.9,0.48,0.45
2022-07,38.89,40.55,6.4,6.38,0.7,0.68,0.31,0.3
2022-08,42.28,43.81,6.28,6.17,0.65,0.64,0.3,0.28
2022-09,41.27,41.46,7.75,7.01,0.78,0.72,0.3,0.3
2022-10,30.84,33.56,9.44,7.83,0.73,0.68,0.33,0.3
2022-11,30.58,31.75,8.87,8.11,0.65,0.62,0.45,0.39
2022-12,25.8,28.55,9.74,8.33,0.66,0.58,0.54,0.45
2023-01,26.73,29.5,8.39,6.09,0.51,0.4,0.48,0.33
2023-02,26.5,27.77,8.62,7.11,0.54,0.45,0.3,0.23
2023-03,31.24,30.46,9.53,8.38,0.71,0.65,0.47,0.4
2023-04,24.0,27.94,8.84,7.98,0.73,0.67,0.43,0.39
2023-05,32.99,34.97,8.76,7.89,0.81,0.76,0.29,0.3
2023-06,35.98,36.86,7.31,6.73,0.62,0.59,0.31,0.28
2023-07,35.43,36.34,6.6,6.24,0.58,0.57,0.31,0.28
2023-08,35.01,34.16,6.92,6.17,0.55,0.52,0.31,0.27
2023-09,42.47,40.89,7.29,6.62,0.51,0.51,0.26,0.26
2023-10,52.28,52.07,14.56,13.32,0.78,0.76,0.5,0.49
2023-11,30.65,31.38,11.23,10.53,0.63,0.64,0.35,0.34
