month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,45.5,43.88,6.14,7.22,0.31,0.37,0.27,0.35
2014-02,35.8,38.65,13.34,12.53,0.65,0.66,0.3,0.32
2014-03,21.89,23.97,15.0,14.57,0.85,0.84,0.6,0.56
2014-04,14.52,18.08,12.99,12.76,1.01,0.98,0.58,0.56
2014-05,26.27,26.99,9.65,10.12,0.96,0.94,0.41,0.45
2014-06,41.84,39.64,8.24,8.71,0.85,0.83,0.49,0.44
2014-07,30.33,29.17,10.17,10.07,0.86,0.84,0.45,0.43
2014-08,32.12,29.76,8.4,8.62,0.78,0.76,0.5,0.48
2014-09,40.21,37.32,16.63,15.74,1.32,1.22,1.28,1.14
2014-10,42.7,39.37,26.23,22.98,1.4,1.28,1.32,1.25
2014-11,27.25,27.2,26.79,24.84,1.29,1.2,0.66,0.64
2014-12,16.84,21.0,16.99,16.5,1.21,1.15,0.41,0.44
2015-01,34.42,33.08,9.97,10.4,0.61,0.61,0.41,0.41
2015-02,19.36,23.77,13.24,12.94,0.8,0.81,0.43,0.44
2015-03,17.12,20.84,12.85,12.53,0.88,0.84,0.58,0.53
2015-04,26.6,26.34,13.39,13.68,1.17,1.13,0.58,0.6
2015-05,31.7,29.09,10.11,10.26,0.93,0.91,0.5,0.48
2015-06,24.53,27.17,7.56,8.08,0.72,0.75,0.39,0.43
2015-07,26.94,25.22,10.25,10.06,0.87,0.83,0.56,0.52
2015-08,25.0,26.35,10.01,10.03,0.85,0.86,0.55,0.54
2015-09,21.35,20.66,18.44,16.02,1.24,1.15,1.09,0.96
2015-10,31.98,29.89,26.67,24.91,1.17,1.12,0.84,0.76
2015-11,12.64,14.43,32.81,30.56,1.13,1.03,0.81,0.77
2015-12,21.74,24.8,16.19,16.3,0.77,0.79,0.4,0.44
2016-01,20.02,22.84,18.69,17.93,0.76,0.78,0.55,0.58
2016-02,16.53,22.46,18.37,17.09,0.95,0.94,0.37,0.42
2016-03,16.98,21.8,16.18,16.09,1.01,0.98,0.53,0.5
2016-04,15.7,18.75,10.93,10.68,0.88,0.87,0.42,0.42
2016-05,19.88,21.21,12.23,12.05,1.16,1.14,0.43,0.44
2016-06,32.44,31.75,9.86,10.48,0.94,0.98,0.43,0.46
2016-07,35.23,32.52,8.37,8.99,0.84,0.83,0.41,0.43
2016-08,29.16,30.35,11.89,11.93,1.19,1.13,0.64,0.57
2016-09,13.44,17.38,12.21,13.67,1.35,1.43,0.44,0.52
2016-10,22.49,24.19,15.2,15.45,1.32,1.38,0.56,0.6
2016-11,19.45,22.5,14.93,14.7,0.94,0.96,0.59,0.55
2016-12,28.6,28.8,11.8,12.36,0.83,0.83,0.37,0.41
2017-01,21.81,26.1,9.63,9.79,0.57,0.58,0.33,0.34
2017-02,22.6,25.17,9.71,9.89,0.63,0.64,0.31,0.33
2017-03,31.03,35.22,13.77,13.84,0.76,0.78,0.46,0.47
2017-04,26.6,29.75,15.02,15.11,0.96,0.96,0.57,0.57
2017-05,31.54,32.3,8.73,9.31,0.85,0.85,0.39,0.4
2017-06,37.98,36.01,8.64,8.59,0.78,0.79,0.38,0.4
2017-07,28.37,30.01,8.48,8.72,0.75,0.77,0.49,0.48
2017-08,27.32,27.6,9.0,9.11,0.76,0.77,0.52,0.49
2017-09,35.51,33.15,13.73,13.69,0.99,1.0,0.65,0.67
2017-10,25.2,26.31,15.89,15.56,0.96,0.97,0.48,0.5
2017-11,25.23,27.75,23.1,22.8,1.37,1.36,0.53,0.61
2017-12,28.55,29.91,17.96,17.58,1.02,1.02,0.44,0.47
2018-01,31.02,31.15,12.22,12.01,0.73,0.71,0.37,0.36
2018-02,16.65,23.15,10.44,10.44,0.72,0.69,0.28,0.33
2018-03,33.59,30.52,13.44,13.6,0.94,0.96,0.55,0.54
2018-04,21.06,23.94,11.6,11.64,0.88,0.89,0.66,0.6
2018-05,40.05,33.94,9.13,9.06,0.86,0.84,0.45,0.44
2018-06,35.64,32.49,9.55,9.45,0.84,0.82,0.43,0.44
2018-07,23.83,23.97,8.92,8.94,0.76,0.75,0.48,0.46
2018-08,28.87,25.02,11.26,10.98,0.89,0.87,0.51,0.5
2018-09,28.96,26.6,15.3,15.09,1.14,1.1,0.93,0.89
2018-10,28.89,27.04,18.99,19.01,1.05,1.07,0.58,0.65
2018-11,24.83,26.35,17.04,16.44,1.0,0.97,0.39,0.42
2018-12,35.21,32.19,12.18,11.56,0.72,0.7,0.47,0.45
2019-01,38.84,36.49,12.08,12.43,0.74,0.75,0.54,0.52
2019-02,25.9,26.6,11.85,11.92,0.81,0.79,0.36,0.39
2019-03,27.57,27.3,14.53,14.72,0.92,0.92,0.4,0.44
2019-04,31.26,29.46,11.04,11.77,0.84,0.86,0.48,0.51
2019-05,25.71,26.46,8.39,9.02,0.75,0.78,0.4,0.42
2019-06,37.71,30.06,8.88,9.01,0.77,0.76,0.49,0.44
2019-07,33.37,30.24,9.05,9.33,0.78,0.81,0.54,0.54
2019-08,33.39,30.78,10.46,10.75,0.83,0.85,0.62,0.59
2019-09,29.09,29.29,14.7,13.99,0.89,0.92,0.53,0.55
2019-10,32.7,32.99,24.67,25.04,1.43,1.46,1.02,1.08
2019-11,19.73,22.88,19.95,19.23,0.95,0.95,0.99,0.94
2019-12,28.57,28.17,20.56,20.4,1.08,1.08,0.69,0.7
2020-01,24.66,25.5,10.48,10.92,0.68,0.7,0.44,0.42
2020-02,22.26,24.46,9.97,10.58,0.69,0.74,0.24,0.3
2020-03,17.23,19.93,13.06,12.77,1.01,0.97,0.45,0.42
2020-04,15.06,18.41,11.32,11.51,0.89,0.9,0.43,0.45
2020-05,26.0,25.1,11.48,11.35,0.99,0.99,0.4,0.43
2020-06,30.15,28.38,7.58,8.19,0.7,0.73,0.36,0.38
2020-07,30.11,30.22,7.39,8.28,0.75,0.77,0.43,0.44
2020-08,18.13,21.42,10.81,11.17,1.04,1.02,0.64,0.59
2020-09,19.61,22.49,12.1,12.34,0.97,0.97,0.48,0.48
2020-10,25.61,28.24,13.84,14.14,0.82,0.87,0.44,0.49
2020-11,19.29,23.68,18.18,18.37,0.94,0.98,0.66,0.65
2020-12,35.43,33.82,12.21,12.82,0.64,0.7,0.3,0.36
2021-01,28.38,29.8,11.69,11.7,0.7,0.69,0.46,0.43
2021-02,27.69,27.8,10.2,10.53,0.59,0.6,0.27,0.32
2021-03,23.13,24.32,11.35,11.74,0.81,0.81,0.36,0.38
2021-04,19.44,21.56,10.52,10.54,0.77,0.78,0.52,0.48
2021-05,25.22,27.93,9.48,9.77,0.88,0.89,0.43,0.42
2021-06,25.29,25.24,11.08,11.72,0.95,0.99,0.49,0.53
2021-07,28.02,29.15,8.01,8.38,0.67,0.7,0.49,0.48
2021-08,31.13,30.96,9.18,9.37,0.78,0.8,0.49,0.48
2021-09,29.82,28.93,11.34,11.74,0.83,0.87,0.52,0.54
2021-10,20.16,22.83,15.01,14.99,0.93,0.95,0.46,0.48
2021-11,21.43,24.66,15.19,14.95,1.06,1.03,0.38,0.39
2021-12,32.87,31.72,15.23,15.57,0.76,0.8,0.52,0.49
2022-01,34.64,34.09,10.05,10.45,0.58,0.6,0.44,0.42
2022-02,31.07,29.85,11.88,11.44,0.73,0.7,0.31,0.34
2022-03,33.23,33.76,14.03,13.79,1.01,0.95,0.57,0.54
2022-04,27.71,28.42,13.26,13.85,0.99,0.99,0.68,0.63
2022-05,31.4,29.15,11.47,11.36,1.01,1.0,0.46,0.46
2022-06,32.76,32.68,8.71,9.23,0.82,0.82,0.46,0.46
2022-07,27.63,30.38,7.13,8.18,0.74,0.78,0.33,0.38
2022-08,25.88,27.92,10.17,10.11,1.03,0.97,0.54,0.51
2022-09,16.8,20.08,13.09,12.91,1.21,1.19,0.5,0.52
2022-10,16.74,20.35,16.84,16.1,1.15,1.15,0.41,0.48
2022-11,22.08,24.33,17.5,17.95,1.1,1.11,0.36,0.42
2022-12,29.1,28.94,11.59,11.91,0.66,0.7,0.46,0.44
2023-01,37.13,33.34,8.31,8.49,0.48,0.47,0.42,0.4
2023-02,30.38,28.23,8.92,9.69,0.54,0.56,0.2,0.29
2023-03,21.08,20.77,11.95,11.9,0.84,0.82,0.47,0.44
2023-04,19.51,22.68,10.78,10.88,0.86,0.82,0.4,0.38
2023-05,32.37,30.75,8.35,8.7,0.74,0.78,0.42,0.43
2023-06,25.69,28.0,11.96,11.32,0.93,0.9,0.5,0.49
2023-07,26.57,26.05,7.8,8.87,0.59,0.65,0.36,0.37
2023-08,25.26,25.59,8.6,8.77,0.67,0.72,0.46,0.46
2023-09,35.96,35.94,14.1,13.55,0.93,0.92,0.7,0.64
2023-10,42.96,49.93,26.25,27.27,1.32,1.38,1.22,1.26
2023-11,33.15,35.73,26.57,26.64,1.33,1.31,0.75,0.84
2023-12,25.26,26.45,16.49,16.3,0.78,0.81,0.49,0.47
2024-01,34.59,33.21,10.94,11.46,0.57,0.61,0.46,0.45
2024-02,36.48,38.17,12.09,12.12,0.74,0.75,0.34,0.35
2024-03,28.11,29.86,10.82,11.25,0.84,0.84,0.39,0.4
2024-04,25.06,24.92,9.68,10.33,0.81,0.85,0.4,0.41
2024-05,28.91,30.9,10.78,10.43,1.0,0.98,0.43,0.43
2024-06,33.29,30.09,10.09,10.29,0.92,0.9,0.43,0.45
2024-07,37.43,33.55,8.58,8.69,0.75,0.77,0.4,0.41
2024-08,22.73,25.81,11.17,10.91,0.89,0.88,0.5,0.47
2024-09,28.0,29.13,17.2,15.75,1.18,1.13,0.75,0.68
2024-10,30.22,30.28,17.68,17.49,0.93,0.95,0.5,0.56
2024-11,36.33,35.8,21.71,20.43,1.06,1.02,0.56,0.52
2024-12,29.46,29.91,14.92,14.08,0.76,0.74,0.28,0.33
