month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,40.47,33.53,16.2,14.26,0.49,0.46,0.5,0.61
2014-02,36.99,32.48,17.1,16.42,0.53,0.52,0.32,0.31
2014-03,17.17,16.57,13.98,13.49,0.69,0.69,0.47,0.46
2014-04,14.84,14.14,11.33,11.93,0.85,0.91,0.36,0.37
2014-05,25.94,25.19,8.48,8.49,0.79,0.76,0.23,0.23
2014-06,34.6,35.6,7.13,6.97,0.66,0.63,0.34,0.3
2014-07,32.11,34.41,6.93,6.79,0.56,0.53,0.28,0.3
2014-08,40.79,41.0,6.39,6.64,0.57,0.56,0.39,0.38
2014-09,32.58,34.05,7.99,7.51,0.62,0.58,0.38,0.37
2014-10,34.92,34.59,12.04,11.28,0.65,0.63,0.4,0.39
2014-11,25.23,23.96,14.11,13.56,0.76,0.72,0.31,0.31
2014-12,14.87,17.11,14.7,13.65,0.91,0.87,0.28,0.28
2015-01,30.41,29.36,11.28,10.53,0.55,0.54,0.3,0.31
2015-02,24.16,25.44,11.9,10.89,0.65,0.62,0.36,0.35
2015-03,24.23,23.04,12.41,11.81,0.74,0.73,0.39,0.38
2015-04,18.92,19.33,11.49,11.03,0.9,0.87,0.33,0.31
2015-05,26.49,30.22,8.2,8.1,0.77,0.71,0.28,0.27
2015-06,30.89,33.63,6.92,6.89,0.65,0.62,0.33,0.33
2015-07,31.63,32.5,7.37,6.96,0.59,0.55,0.3,0.3
2015-08,28.67,32.71,7.24,6.91,0.55,0.53,0.3,0.31
2015-09,25.83,28.32,10.1,8.99,0.67,0.6,0.49,0.46
2015-10,47.82,,15.18,14.3,0.61,0.58,0.27,0.26
2015-11,19.83,18.64,18.51,16.05,0.71,0.64,0.46,0.41
2015-12,25.35,23.22,13.73,12.17,0.52,0.46,0.31,0.28
2016-01,24.13,21.44,16.39,14.01,0.6,0.54,0.46,0.4
2016-02,19.55,19.86,15.11,13.53,0.62,0.57,0.3,0.29
2016-03,16.81,16.76,14.41,13.85,0.85,0.81,0.38,0.35
2016-04,15.32,16.66,11.27,11.37,0.94,0.95,0.28,0.28
2016-05,16.49,17.21,9.76,9.85,0.92,0.89,0.25,0.23
2016-06,30.33,32.41,8.61,7.87,0.77,0.71,0.36,0.32
2016-07,34.05,38.26,6.99,6.83,0.64,0.59,0.31,0.3
2016-08,27.42,29.73,7.27,7.1,0.69,0.63,0.36,0.34
2016-09,20.79,23.78,8.74,9.04,0.96,0.87,0.37,0.34
2016-10,30.02,33.43,9.74,8.98,0.82,0.76,0.33,0.32
2016-11,20.97,23.1,12.5,11.53,0.73,0.7,0.44,0.4
2016-12,20.59,21.87,12.15,11.09,0.65,0.6,0.24,0.23
2017-01,28.55,25.84,10.29,9.55,0.5,0.47,0.28,0.27
2017-02,23.87,24.68,11.32,10.23,0.58,0.54,0.25,0.24
2017-03,24.99,23.28,12.94,12.15,0.76,0.73,0.34,0.32
2017-04,19.76,19.82,12.78,12.3,0.79,0.78,0.29,0.3
