month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,51.06,67.53,13.36,20.68,0.57,1.32,0.41,0.41
2014-02,70.54,63.14,28.94,24.05,1.35,1.54,0.62,0.68
2014-03,55.98,51.32,34.77,31.16,2.17,2.36,0.59,0.7
2014-04,52.65,51.44,33.41,32.52,3.11,3.25,0.76,0.78
2014-05,,,33.49,34.12,3.66,3.84,0.73,0.69
2014-06,56.39,55.32,27.22,29.16,3.01,3.3,1.06,0.89
2014-07,139.93,121.65,24.25,25.22,2.36,2.78,1.28,1.18
2014-08,99.74,95.43,42.12,39.82,3.38,3.56,1.25,1.18
2014-09,94.22,93.25,62.01,60.4,3.04,3.17,1.68,1.74
2014-10,69.63,69.84,87.31,97.69,2.98,3.28,1.44,1.18
2014-11,52.1,59.46,90.11,88.66,3.69,4.04,0.94,0.87
2014-12,47.16,,34.02,33.87,3.26,3.39,0.78,0.75
2015-01,40.54,,30.7,30.43,2.38,2.74,0.72,0.81
2015-02,45.39,,29.24,29.37,2.08,2.41,0.52,0.71
2015-03,52.72,51.72,35.85,31.57,2.6,2.78,0.68,0.75
2015-04,49.59,,31.36,33.68,2.93,3.4,0.58,0.72
2015-05,,48.67,30.33,32.65,3.3,3.48,0.67,0.74
2015-06,48.84,52.83,25.54,28.87,2.83,3.16,0.84,0.84
2015-07,72.2,67.42,26.95,27.15,2.04,2.24,1.13,1.03
2015-08,113.3,,59.08,58.92,3.06,3.12,2.06,2.03
2015-09,160.81,155.73,206.91,219.6,2.98,2.84,4.83,5.2
2015-10,106.13,104.4,204.9,208.02,2.83,3.15,2.07,2.21
2015-11,49.21,54.42,55.97,58.14,3.5,4.09,0.67,0.65
2015-12,46.45,48.51,34.09,34.27,2.27,2.83,0.77,0.78
2016-01,40.23,47.98,44.12,36.88,2.7,2.8,0.78,0.74
2016-02,43.74,48.74,38.24,35.5,2.49,2.94,0.57,0.69
2016-03,,49.91,41.19,37.36,2.76,3.22,0.57,0.68
2016-04,51.62,48.42,42.0,38.82,3.16,3.52,0.56,0.67
2016-05,49.36,45.4,30.21,34.21,3.28,3.67,0.75,0.74
2016-06,,,23.73,28.31,2.73,3.06,0.85,0.88
2016-07,51.35,55.37,23.79,27.96,2.75,2.93,0.8,0.87
2016-08,92.81,78.11,22.2,27.41,2.62,2.9,1.1,1.22
2016-09,65.27,63.88,24.01,29.92,3.08,3.49,1.03,0.95
2016-10,53.76,53.33,22.11,29.12,2.67,3.17,0.76,0.83
2016-11,48.27,48.68,27.64,31.92,2.84,3.23,0.62,0.75
2016-12,48.25,,28.3,30.1,2.4,2.83,0.72,0.8
2017-01,41.72,48.92,30.13,29.82,2.01,2.4,0.71,0.8
2017-02,46.91,,28.98,29.76,2.23,2.44,0.54,0.74
2017-03,44.5,,28.12,29.06,2.2,2.62,0.55,0.79
2017-04,48.87,49.68,29.49,30.71,2.46,2.81,0.62,0.78
2017-05,42.93,46.88,27.98,33.07,3.12,3.41,0.82,0.76
2017-06,47.0,51.87,23.82,28.01,2.65,2.81,0.92,0.87
2017-07,61.14,65.59,24.55,26.82,2.59,2.86,1.08,1.04
2017-08,58.61,56.26,28.54,30.11,3.06,3.28,0.83,0.88
2017-09,76.09,67.72,28.63,30.61,2.93,3.18,0.88,1.09
2017-10,56.95,57.09,25.22,27.66,2.2,2.68,0.87,0.9
2017-11,45.62,49.27,32.24,32.1,2.69,2.97,0.61,0.74
2017-12,47.02,48.36,30.82,31.28,2.22,2.67,0.82,0.8
2018-01,42.82,49.2,30.34,30.15,2.26,2.57,0.64,0.78
2018-02,48.5,51.13,27.75,27.71,1.81,2.1,0.42,0.69
2018-03,49.86,,32.63,31.44,2.37,2.77,0.58,0.75
2018-04,52.42,49.87,30.34,32.02,2.67,3.07,0.53,0.76
2018-05,45.31,48.6,32.23,32.87,3.32,3.42,0.72,0.73
2018-06,51.41,51.44,26.34,28.9,2.64,2.91,0.78,0.87
2018-07,74.42,80.55,23.17,26.44,2.32,2.72,1.05,1.14
2018-08,130.29,122.47,31.54,31.22,2.45,2.91,1.56,1.45
