month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,29.27,22.61,14.33,10.83,0.43,0.42,0.32,0.3
2014-02,27.59,27.46,15.76,14.24,0.57,0.58,0.21,0.22
2014-03,19.55,21.52,15.35,14.54,0.82,0.79,0.35,0.31
2014-04,18.44,20.16,11.99,11.85,1.01,0.96,0.31,0.29
2014-05,24.7,24.28,10.42,10.28,1.01,0.96,0.21,0.22
2014-06,25.0,25.54,9.23,9.13,0.91,0.88,0.36,0.32
2014-07,29.11,31.02,7.78,7.64,0.67,0.68,0.3,0.33
2014-08,33.18,34.66,7.81,7.78,0.73,0.74,0.35,0.37
2014-09,43.11,42.43,10.17,9.75,0.88,0.89,0.38,0.4
2014-10,51.57,,16.42,14.87,0.93,0.89,0.48,0.44
2014-11,38.89,38.62,19.04,17.28,1.07,0.98,0.41,0.38
2014-12,16.49,19.89,14.72,13.85,1.02,0.94,0.25,0.23
2015-01,27.16,26.25,12.05,11.31,0.63,0.62,0.32,0.28
2015-02,22.27,25.36,11.78,10.59,0.66,0.62,0.32,0.3
2015-03,25.46,26.54,13.24,12.61,0.77,0.75,0.29,0.29
2015-04,18.03,20.93,12.83,12.3,1.18,1.06,0.27,0.25
2015-05,21.1,25.7,8.82,8.77,0.89,0.85,0.31,0.3
2015-06,26.71,30.59,7.92,8.14,0.8,0.82,0.32,0.32
2015-07,29.22,31.16,8.27,8.1,0.68,0.68,0.29,0.32
2015-08,30.68,33.0,10.36,9.47,0.8,0.8,0.38,0.39
2015-09,39.75,42.72,14.63,13.52,1.01,0.98,0.59,0.54
2015-10,60.39,62.2,24.86,23.14,1.03,1.01,0.59,0.54
2015-11,46.52,,23.88,22.12,0.93,0.88,0.49,0.45
2015-12,38.57,41.29,17.15,15.22,0.66,0.61,0.41,0.4
2016-01,32.78,31.25,19.19,17.23,0.69,0.68,0.4,0.38
2016-02,22.95,21.9,14.9,13.31,0.65,0.6,0.26,0.24
2016-03,21.41,22.32,14.61,13.95,0.93,0.87,0.24,0.22
2016-04,19.48,20.61,13.91,12.64,1.33,1.14,0.21,0.19
2016-05,17.3,19.15,11.72,11.15,1.13,1.07,0.25,0.22
2016-06,23.34,27.19,10.25,9.57,1.08,1.01,0.39,0.37
2016-07,28.12,33.5,8.06,8.13,0.85,0.87,0.3,0.31
2016-08,27.92,32.21,8.93,8.41,0.94,0.89,0.41,0.38
2016-09,23.53,29.06,11.06,10.56,1.37,1.27,0.44,0.45
2016-10,31.4,32.0,11.43,10.14,1.14,1.06,0.28,0.28
2016-11,24.37,25.55,13.99,13.07,0.92,0.86,0.39,0.33
2016-12,22.25,21.69,12.71,12.3,0.74,0.71,0.21,0.21
2017-01,24.96,23.01,12.43,11.28,0.63,0.59,0.25,0.24
2017-02,22.04,22.63,13.08,12.06,0.67,0.62,0.21,0.21
2017-03,19.25,21.54,12.82,12.18,0.84,0.78,0.32,0.26
2017-04,22.11,21.78,13.76,12.21,1.07,0.9,0.27,0.24
2017-05,21.65,23.71,9.52,9.64,0.98,0.95,0.21,0.21
2017-06,26.62,28.35,8.78,8.43,0.84,0.84,0.26,0.28
2017-07,28.34,30.85,9.03,8.57,0.79,0.77,0.41,0.39
2017-08,30.51,33.73,8.86,8.49,0.74,0.72,0.45,0.41
2017-09,32.55,31.29,11.63,10.5,0.99,0.91,0.35,0.35
2017-10,32.66,32.31,14.27,13.24,0.93,0.86,0.4,0.36
2017-11,25.32,26.31,17.44,15.76,1.05,0.94,0.24,0.24
2017-12,22.51,21.53,17.19,15.11,0.88,0.8,0.23,0.22
2018-01,21.31,21.81,12.77,11.95,0.59,0.59,0.2,0.21
2018-02,21.3,22.02,12.63,12.09,0.71,0.69,0.19,0.19
2018-03,23.56,24.33,11.3,11.11,0.72,0.69,0.25,0.25
2018-04,24.15,22.97,11.79,11.28,0.98,0.93,0.27,0.27
2018-05,24.88,26.14,8.96,9.0,0.87,0.86,0.18,0.21
2018-06,25.83,29.9,8.97,8.67,0.85,0.85,0.26,0.28
2018-07,29.53,31.82,8.63,8.41,0.82,0.82,0.42,0.4
2018-08,31.29,36.01,9.55,9.23,0.84,0.86,0.38,0.42
2018-09,48.36,,9.81,9.69,0.89,0.91,0.46,0.48
2018-10,53.45,53.24,17.8,15.88,1.09,1.03,0.52,0.5
2018-11,35.49,33.86,17.01,16.49,0.98,0.91,0.36,0.35
2018-12,31.28,26.91,13.21,12.97,0.76,0.75,0.27,0.27
2019-01,27.86,28.55,10.87,10.4,0.58,0.57,0.24,0.25
2019-02,25.01,25.3,11.24,11.14,0.71,0.69,0.2,0.22
2019-03,24.52,23.89,13.69,12.83,0.76,0.71,0.28,0.28
2019-04,23.71,22.66,11.56,11.59,0.97,0.92,0.24,0.24
2019-05,20.96,22.34,10.99,10.69,0.94,0.92,0.27,0.27
2019-06,27.4,29.89,8.05,8.24,0.73,0.73,0.32,0.32
2019-07,27.17,30.55,7.01,7.15,0.53,0.56,0.29,0.32
2019-08,33.15,35.89,8.82,8.25,0.68,0.66,0.34,0.34
2019-09,36.51,36.75,11.09,10.77,0.72,0.72,0.38,0.37
2019-10,42.84,38.89,13.87,13.43,0.95,0.91,0.42,0.41
2019-11,31.58,28.13,14.07,14.18,0.72,0.76,0.36,0.37
2019-12,26.18,25.07,15.48,15.0,0.77,0.75,0.3,0.3
2020-01,17.92,22.19,11.02,10.9,0.57,0.56,0.25,0.24
2020-02,21.21,22.75,11.31,10.98,0.58,0.57,0.17,0.19
2020-03,16.73,20.2,11.88,11.99,0.91,0.88,0.26,0.25
2020-04,19.75,20.55,12.13,11.61,0.95,0.93,0.2,0.2
2020-05,23.77,23.6,10.15,10.17,0.85,0.85,0.2,0.21
2020-06,24.07,27.67,8.26,8.6,0.78,0.82,0.26,0.28
2020-07,26.77,30.73,7.49,7.65,0.73,0.74,0.31,0.32
2020-08,23.6,28.79,9.65,9.26,0.88,0.85,0.44,0.41
2020-09,26.2,29.53,9.93,9.5,0.87,0.85,0.35,0.36
2020-10,25.77,26.88,12.79,12.34,0.83,0.84,0.32,0.31
2020-11,25.81,24.0,12.8,13.32,0.73,0.77,0.26,0.26
2020-12,19.62,20.15,12.17,11.5,0.57,0.57,0.14,0.16
2021-01,19.91,24.15,9.93,9.49,0.51,0.49,0.29,0.28
2021-02,26.49,26.21,10.51,10.25,0.5,0.51,0.16,0.18
2021-03,18.05,21.58,11.85,11.45,0.8,0.74,0.25,0.25
2021-04,17.01,21.01,12.37,12.39,0.86,0.85,0.3,0.27
2021-05,25.7,26.82,8.27,8.96,0.73,0.78,0.16,0.2
2021-06,24.34,27.18,9.71,9.23,0.77,0.76,0.35,0.34
2021-07,27.36,30.67,8.71,8.28,0.75,0.74,0.38,0.38
2021-08,24.77,30.0,8.43,8.43,0.71,0.72,0.31,0.33
2021-09,31.4,32.21,9.75,9.56,0.81,0.82,0.28,0.31
2021-10,22.29,24.3,13.54,12.96,0.9,0.88,0.34,0.32
2021-11,17.59,20.5,12.77,12.81,0.86,0.84,0.23,0.22
2021-12,21.78,23.21,12.18,11.69,0.75,0.73,0.21,0.22
2022-01,20.44,23.2,11.01,10.41,0.57,0.57,0.25,0.25
2022-02,24.26,27.67,10.58,10.18,0.65,0.62,0.28,0.27
2022-03,25.61,24.34,10.88,10.84,0.77,0.73,0.27,0.27
2022-04,23.53,24.54,10.83,10.53,0.9,0.87,0.3,0.32
2022-05,22.06,24.21,10.17,10.0,0.93,0.92,0.2,0.22
2022-06,20.8,25.81,10.06,9.35,0.97,0.93,0.32,0.32
2022-07,31.49,33.11,7.69,8.03,0.8,0.83,0.26,0.28
2022-08,28.81,31.22,9.4,8.98,0.92,0.89,0.36,0.38
2022-09,23.97,26.15,11.53,10.6,1.09,1.02,0.31,0.33
2022-10,20.34,22.42,14.24,13.59,0.92,0.93,0.26,0.26
2022-11,23.61,25.03,15.06,14.72,0.84,0.82,0.25,0.26
