month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,23.5,22.55,16.64,16.65,0.63,0.7,0.37,0.4
2014-02,15.12,16.59,18.68,18.61,0.88,0.94,0.37,0.38
2014-03,19.35,20.04,19.44,18.73,0.98,1.0,0.45,0.41
2014-04,22.06,22.13,19.91,18.99,1.26,1.18,0.52,0.44
2014-05,16.65,19.77,15.61,15.98,1.5,1.49,0.37,0.33
2014-06,17.66,21.03,14.13,14.59,1.36,1.35,0.4,0.34
2014-07,16.76,20.89,15.03,14.79,0.97,0.96,0.37,0.35
2014-08,15.66,18.79,13.51,13.3,1.08,1.05,0.46,0.44
2014-09,21.75,22.0,15.29,14.52,1.21,1.17,0.28,0.28
2014-10,36.32,41.79,24.4,23.33,1.15,1.13,0.4,0.38
2014-11,16.87,23.31,18.74,18.54,1.32,1.31,0.35,0.32
2014-12,10.3,17.04,19.27,18.35,1.33,1.27,0.5,0.42
2015-01,15.57,18.29,16.76,16.81,0.93,0.95,0.43,0.44
2015-02,15.69,19.36,18.58,18.06,1.04,1.02,0.38,0.37
2015-03,20.13,24.2,17.97,17.76,1.09,1.07,0.38,0.35
2015-04,18.8,21.45,18.22,17.58,1.6,1.51,0.4,0.35
2015-05,15.5,19.37,16.92,16.7,1.5,1.46,0.58,0.54
2015-06,16.98,21.12,14.25,14.2,1.35,1.35,0.4,0.36
2015-07,20.02,19.98,14.13,14.26,1.02,1.01,0.55,0.5
2015-08,18.82,20.4,14.06,13.15,0.93,0.93,0.5,0.49
2015-09,32.33,37.81,21.67,19.24,1.15,1.05,0.47,0.38
2015-10,45.6,51.65,27.04,25.19,1.1,1.04,0.42,0.36
2015-11,18.71,27.82,26.16,26.01,1.32,1.34,0.42,0.37
2015-12,18.5,21.99,21.11,19.88,0.91,0.91,0.47,0.42
2016-01,17.48,20.79,25.32,23.98,1.12,1.15,0.54,0.49
2016-02,15.57,17.93,21.46,20.31,1.06,1.07,0.58,0.55
2016-03,15.38,18.08,21.7,19.97,1.52,1.41,0.44,0.36
2016-04,17.78,19.95,19.01,17.74,1.69,1.57,0.37,0.3
2016-05,17.36,21.28,16.95,17.56,1.93,1.89,0.36,0.26
2016-06,18.97,21.44,15.17,14.23,1.5,1.39,0.55,0.44
2016-07,18.99,20.2,13.0,12.88,1.18,1.09,0.42,0.39
2016-08,18.27,19.33,13.93,13.36,1.18,1.08,0.54,0.44
2016-09,21.82,21.56,12.33,12.8,1.31,1.26,0.36,0.34
2016-10,22.08,20.84,14.54,14.09,1.46,1.33,0.33,0.3
2016-11,26.36,23.62,17.03,16.03,1.11,1.05,0.35,0.31
2016-12,19.2,20.83,15.65,15.73,1.03,1.03,0.27,0.27
2017-01,19.35,21.52,19.71,17.68,0.97,0.93,0.53,0.42
2017-02,18.61,18.72,17.7,16.84,0.95,0.9,0.45,0.41
2017-03,19.44,18.54,16.53,15.31,1.11,1.01,0.57,0.46
2017-04,21.45,20.45,16.66,16.21,1.08,1.05,0.31,0.31
2017-05,20.1,19.0,16.63,16.34,1.6,1.46,0.41,0.32
2017-06,22.46,20.99,14.35,14.35,1.32,1.24,0.24,0.26
2017-07,22.63,21.41,13.35,13.71,0.98,0.99,0.31,0.31
2017-08,19.59,19.85,13.14,13.43,0.94,0.97,0.46,0.44
2017-09,21.84,20.79,13.56,13.54,1.04,1.02,0.32,0.32
2017-10,20.08,20.94,16.95,15.99,1.15,1.07,0.35,0.34
2017-11,24.27,21.96,21.05,19.49,1.35,1.27,0.28,0.27
2017-12,19.69,20.92,20.16,19.06,1.03,1.04,0.22,0.26
2018-01,18.16,18.55,17.15,16.94,1.03,1.02,0.39,0.38
2018-02,19.52,21.52,20.84,19.82,1.09,1.07,0.39,0.37
2018-03,23.82,24.38,16.67,16.52,1.0,0.99,0.29,0.29
2018-04,24.41,22.16,18.26,17.94,1.28,1.19,0.29,0.28
2018-05,20.6,20.11,14.97,15.13,1.56,1.51,0.29,0.27
2018-06,18.46,18.87,14.93,14.58,1.42,1.35,0.32,0.32
2018-07,20.19,21.35,15.0,14.04,1.24,1.18,0.35,0.33
2018-08,23.73,23.53,15.28,14.4,1.1,1.04,0.35,0.33
2018-09,30.32,28.26,16.15,15.65,1.18,1.1,0.36,0.32
2018-10,30.58,30.48,20.26,19.17,1.29,1.26,0.42,0.43
2018-11,25.95,23.95,19.48,19.57,1.24,1.18,0.27,0.28
2018-12,17.85,19.78,15.86,16.1,0.99,1.02,0.32,0.33
2019-01,18.51,17.7,16.99,17.08,0.88,0.9,0.44,0.45
2019-02,18.36,16.95,18.79,17.44,1.06,0.97,0.38,0.4
2019-03,22.57,19.83,17.37,16.92,1.05,1.0,0.32,0.32
2019-04,24.11,21.05,17.54,16.98,1.29,1.2,0.34,0.33
2019-05,24.63,22.43,17.66,17.39,1.36,1.29,0.46,0.49
2019-06,20.86,18.13,15.46,15.22,1.15,1.14,0.36,0.39
2019-07,22.4,19.22,13.4,13.97,0.88,0.9,0.33,0.36
2019-08,27.08,26.33,15.88,15.18,0.94,0.86,0.35,0.32
2019-09,29.03,30.83,17.33,16.9,0.94,0.88,0.39,0.37
2019-10,24.99,21.89,14.26,13.97,1.14,1.06,0.34,0.34
2019-11,31.76,30.49,19.52,18.3,0.85,0.87,0.31,0.32
2019-12,25.98,23.99,19.0,18.27,0.93,0.91,0.35,0.35
2020-01,14.32,15.47,16.55,16.59,0.89,0.9,0.37,0.4
2020-02,15.16,16.16,18.24,18.05,1.08,1.07,0.44,0.44
2020-03,16.03,17.17,18.44,17.48,1.23,1.2,0.31,0.34
2020-04,16.11,17.08,18.09,16.91,1.31,1.24,0.26,0.27
2020-05,19.03,18.28,15.92,15.61,1.32,1.3,0.37,0.37
2020-06,21.25,20.34,13.8,14.22,1.38,1.37,0.39,0.41
2020-07,19.73,19.46,12.74,12.7,1.11,1.11,0.43,0.47
2020-08,19.86,19.39,13.01,13.0,1.12,1.07,0.44,0.42
2020-09,18.31,20.15,12.75,12.92,1.14,1.14,0.5,0.5
2020-10,18.54,18.1,14.0,14.24,1.0,1.01,0.31,0.34
2020-11,18.49,19.86,14.32,14.71,1.02,1.02,0.23,0.25
2020-12,19.17,19.67,15.97,16.26,0.94,0.98,0.3,0.29
2021-01,15.43,15.85,14.34,14.96,0.85,0.89,0.48,0.49
2021-02,19.36,18.96,18.03,17.37,0.85,0.86,0.39,0.39
2021-03,17.61,18.84,15.95,15.98,1.09,1.05,0.32,0.34
2021-04,23.9,24.06,17.31,17.28,1.11,1.11,0.32,0.31
2021-05,20.68,20.97,15.29,15.73,1.27,1.29,0.24,0.24
2021-06,17.95,19.09,13.13,13.68,1.04,1.05,0.39,0.42
2021-07,17.12,18.76,13.27,13.56,0.96,0.99,0.5,0.49
2021-08,21.51,19.65,12.12,12.45,0.92,0.97,0.45,0.51
2021-09,17.86,19.68,12.85,13.04,1.07,1.06,0.48,0.5
2021-10,18.13,19.34,15.04,14.51,1.18,1.13,0.41,0.42
2021-11,20.65,20.59,13.2,13.29,1.27,1.29,0.48,0.48
2021-12,19.63,19.98,15.07,15.3,0.93,0.97,0.33,0.35
2022-01,15.19,17.23,16.76,16.99,0.96,0.98,0.41,0.41
2022-02,17.85,18.35,16.24,16.12,0.93,0.94,0.5,0.48
2022-03,21.01,19.27,15.33,15.6,1.11,1.11,0.33,0.35
2022-04,23.42,21.36,15.6,15.69,1.19,1.15,0.26,0.27
2022-05,20.07,20.61,15.05,15.59,1.5,1.44,0.29,0.26
2022-06,16.43,18.8,11.02,11.22,1.1,1.12,0.51,0.57
2022-07,19.37,20.46,13.15,13.87,1.09,1.13,0.41,0.41
2022-08,20.16,18.38,11.97,12.32,1.01,1.01,0.51,0.55
2022-09,20.69,20.67,11.52,11.89,0.95,0.99,0.62,0.71
2022-10,20.53,21.36,14.79,14.54,1.1,1.13,0.42,0.49
2022-11,25.94,24.1,16.85,16.99,1.22,1.22,0.3,0.31
2022-12,26.35,24.2,16.14,16.25,1.0,1.0,0.36,0.35
2023-01,20.43,20.67,15.78,15.53,0.86,0.85,0.52,0.48
2023-02,17.98,17.6,16.21,16.81,0.9,0.94,0.34,0.36
2023-03,19.85,18.67,17.42,17.48,1.23,1.22,0.3,0.31
2023-04,22.99,22.51,17.3,16.87,1.19,1.14,0.35,0.35
2023-05,19.4,20.05,14.97,15.32,1.31,1.3,0.3,0.28
2023-06,19.89,20.25,14.62,14.81,1.12,1.08,0.33,0.33
2023-07,17.05,17.82,14.53,14.78,0.93,0.95,0.41,0.41
2023-08,19.22,19.59,14.34,14.86,0.86,0.89,0.39,0.41
2023-09,19.78,20.79,15.15,15.31,1.01,1.0,0.33,0.32
2023-10,25.18,26.16,16.83,16.81,0.95,0.96,0.33,0.34
2023-11,25.55,24.62,17.79,17.97,1.01,1.04,0.42,0.4
2023-12,15.08,14.28,16.87,17.18,1.05,1.09,0.52,0.51
2024-01,14.34,15.09,17.84,17.61,1.06,1.06,0.47,0.47
2024-02,15.24,16.12,19.76,19.95,1.12,1.13,0.46,0.47
2024-03,17.14,16.0,17.2,17.45,1.31,1.29,0.43,0.45
2024-04,17.39,18.06,17.39,17.28,1.54,1.55,0.39,0.37
2024-05,22.05,20.01,13.94,14.64,1.31,1.24,0.25,0.27
2024-06,23.0,20.2,14.5,14.48,1.26,1.25,0.49,0.45
2024-07,19.65,17.44,14.81,14.92,1.06,1.02,0.5,0.47
2024-08,17.15,17.75,13.02,13.68,0.91,0.96,0.49,0.49
2024-09,18.23,18.71,14.86,14.99,1.06,1.04,0.37,0.34
2024-10,15.52,18.86,16.95,16.18,1.14,1.11,0.37,0.36
2024-11,16.71,16.9,16.48,16.72,1.03,1.05,0.35,0.36
2024-12,16.22,17.39,17.34,16.97,1.02,1.04,0.35,0.35
