month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,80.24,70.88,32.96,30.76,2.43,3.47,2.36,2.58
2014-02,87.37,78.37,60.3,42.02,4.08,3.85,2.38,2.53
2014-03,93.0,84.34,88.18,61.27,5.14,4.66,2.99,2.61
2014-04,71.1,69.99,31.09,33.04,5.04,5.2,2.53,2.96
2014-05,79.13,75.97,33.04,37.08,6.02,6.15,4.26,4.54
2014-06,79.95,77.2,32.87,33.87,5.16,5.37,4.46,4.58
2014-07,75.95,76.28,37.36,31.67,5.08,4.67,6.08,5.3
2014-08,88.41,84.94,29.72,29.37,3.89,4.05,6.74,6.31
2014-09,102.72,95.32,20.92,22.62,2.2,2.28,4.96,4.51
2014-10,96.18,92.91,32.11,29.32,2.25,2.07,4.15,3.64
2014-11,73.0,71.82,73.32,57.63,5.09,5.01,2.92,2.92
2014-12,63.35,65.61,41.82,33.55,6.45,5.25,2.62,2.67
2015-01,67.11,67.16,34.91,30.65,4.26,4.04,2.36,2.46
2015-02,70.5,69.26,38.4,30.92,4.29,4.07,2.5,2.48
2015-03,74.18,70.3,33.7,32.35,4.89,4.8,2.49,2.83
2015-04,69.79,69.03,37.26,34.87,6.13,5.61,2.72,3.07
2015-05,81.25,78.88,32.97,32.59,5.5,5.23,5.99,5.38
2015-06,84.93,83.1,25.43,28.19,4.16,4.21,5.78,5.67
2015-07,71.28,73.35,18.39,18.95,2.68,2.57,5.5,5.12
2015-08,81.04,82.42,18.05,17.11,2.26,2.25,5.38,4.7
2015-09,96.98,88.68,29.63,22.89,1.93,1.86,4.75,4.07
2015-10,132.0,120.75,47.33,42.9,1.89,2.03,4.37,3.99
2015-11,83.68,81.93,48.62,38.89,3.49,3.01,3.14,2.82
2015-12,64.16,66.1,37.8,33.36,4.52,4.39,2.29,2.53
2016-01,66.75,67.14,39.27,32.3,4.35,4.09,2.08,2.41
2016-02,70.61,68.44,42.44,32.96,4.64,4.28,2.07,2.46
2016-03,67.65,67.57,40.41,34.6,6.28,5.69,2.45,2.9
2016-04,74.34,72.14,41.07,38.26,7.38,6.59,3.69,3.82
2016-05,72.72,73.59,41.41,40.75,7.4,6.82,4.38,4.61
2016-06,71.65,72.7,31.4,30.84,5.74,5.13,3.9,4.15
2016-07,75.5,76.97,32.22,33.16,5.14,5.15,5.01,4.96
2016-08,71.15,72.9,23.94,27.92,3.78,4.16,3.21,3.55
2016-09,70.55,71.22,24.92,29.49,4.67,4.54,2.56,3.1
2016-10,69.6,69.99,33.28,34.27,5.58,5.32,2.37,2.88
2016-11,65.64,66.92,35.99,35.08,6.6,5.79,2.48,2.91
2016-12,64.8,66.82,26.81,29.39,4.03,4.24,1.93,2.44
2017-01,68.36,67.82,35.27,31.6,3.98,3.88,2.52,2.43
2017-02,66.39,66.51,33.89,32.21,4.57,4.05,2.4,2.46
2017-03,74.52,70.24,33.06,31.9,4.94,4.78,2.79,2.91
2017-04,69.59,68.65,36.44,34.99,5.84,5.3,3.12,2.99
2017-05,82.58,79.21,36.44,36.52,6.15,5.92,5.46,5.29
2017-06,78.02,77.47,35.03,33.58,5.9,5.33,5.34,5.24
2017-07,81.94,81.19,30.55,29.85,4.9,4.77,6.74,6.48
2017-08,85.5,81.81,22.92,21.14,3.03,2.89,4.97,4.73
2017-09,89.37,83.4,19.29,21.81,2.51,2.49,3.41,3.67
2017-10,69.67,68.76,30.43,29.73,4.17,3.96,2.63,2.66
2017-11,67.75,69.29,38.57,34.92,5.1,4.98,2.54,2.86
2017-12,63.58,66.42,30.64,31.69,4.34,4.06,2.35,2.49
