month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,25.73,27.63,15.2,16.6,0.65,0.5,0.35,0.26
2014-02,14.82,17.7,16.17,15.68,0.8,0.83,0.33,0.28
2014-03,23.06,23.53,15.31,14.78,0.8,0.76,0.39,0.34
2014-04,23.38,20.56,15.53,14.3,1.01,0.94,0.43,0.38
2014-05,20.1,22.02,12.56,12.25,1.14,1.08,0.39,0.37
2014-06,19.09,20.98,10.86,10.75,1.03,0.97,0.4,0.36
2014-07,23.6,21.72,10.51,11.01,0.74,0.72,0.3,0.31
2014-08,20.08,20.47,12.22,12.01,1.03,1.01,0.5,0.49
2014-09,19.82,20.63,10.84,10.8,0.88,0.86,0.23,0.29
2014-10,31.07,30.97,19.63,17.97,0.9,0.85,0.33,0.3
2014-11,19.8,24.13,15.07,14.28,0.99,0.92,0.37,0.32
2014-12,13.03,17.65,14.23,13.6,1.01,0.92,0.37,0.32
2015-01,17.85,19.52,14.45,13.67,0.83,0.76,0.37,0.31
2015-02,19.35,19.47,14.89,13.64,0.85,0.8,0.34,0.31
2015-03,21.12,23.89,14.26,13.06,0.84,0.79,0.3,0.27
2015-04,21.34,19.11,15.21,13.58,1.27,1.14,0.37,0.31
2015-05,18.4,19.5,13.29,12.09,1.17,1.06,0.49,0.44
2015-06,18.63,20.82,10.52,10.29,1.01,0.95,0.38,0.39
2015-07,18.8,20.29,11.91,11.33,0.9,0.81,0.49,0.44
2015-08,21.85,21.12,11.23,10.99,0.79,0.81,0.47,0.45
2015-09,33.03,34.05,17.07,15.03,0.91,0.81,0.42,0.36
2015-10,48.51,,22.4,19.52,0.85,0.69,0.41,0.32
2015-11,19.9,25.48,20.48,18.05,0.95,0.81,0.36,0.26
2015-12,20.45,21.01,17.35,15.56,0.76,0.67,0.39,0.33
2016-01,19.11,20.61,19.03,16.71,0.84,0.72,0.41,0.35
2016-02,15.06,17.24,16.01,14.11,0.82,0.74,0.46,0.41
2016-03,17.03,17.97,17.64,15.65,1.24,1.06,0.38,0.28
2016-04,20.54,21.64,15.23,13.7,1.28,1.11,0.33,0.25
2016-05,23.21,24.83,13.75,12.52,1.47,1.26,0.32,0.26
2016-06,23.0,21.68,11.75,11.01,1.21,1.09,0.47,0.42
2016-07,22.42,20.99,11.13,10.54,1.07,0.96,0.4,0.42
2016-08,20.75,21.39,10.41,10.76,0.97,0.92,0.48,0.46
2016-09,21.24,21.82,10.42,10.42,1.12,1.03,0.38,0.36
2016-10,22.64,21.61,11.45,10.93,1.13,1.02,0.35,0.33
2016-11,27.12,23.26,13.18,12.5,0.77,0.76,0.31,0.3
2016-12,23.51,21.56,12.24,12.24,0.79,0.77,0.22,0.22
2017-01,19.45,19.26,14.16,12.84,0.76,0.7,0.4,0.33
2017-02,19.27,19.0,14.53,13.78,0.82,0.77,0.34,0.31
2017-03,19.37,19.36,13.22,12.54,0.97,0.89,0.5,0.41
2017-04,21.29,21.02,14.85,13.56,1.04,0.94,0.29,0.27
2017-05,25.31,21.6,13.22,12.17,1.22,1.1,0.35,0.31
2017-06,26.56,22.98,11.88,11.18,1.1,0.99,0.24,0.25
2017-07,24.9,22.01,10.2,10.6,0.77,0.8,0.28,0.32
2017-08,23.0,20.13,11.67,11.65,0.9,0.85,0.55,0.47
2017-09,24.38,21.63,11.31,11.04,0.86,0.85,0.31,0.37
2017-10,22.28,21.44,13.5,12.58,0.87,0.8,0.3,0.3
2017-11,23.41,22.62,16.0,14.84,0.94,0.88,0.21,0.21
2017-12,22.81,22.9,17.2,15.69,0.83,0.8,0.17,0.17
2018-01,19.36,19.57,13.59,12.8,0.88,0.84,0.31,0.3
2018-02,20.78,21.5,15.87,14.82,0.81,0.77,0.28,0.26
2018-03,24.67,22.3,14.34,13.75,0.91,0.87,0.23,0.24
2018-04,27.82,24.46,14.32,13.9,1.0,0.95,0.26,0.28
2018-05,23.2,21.8,12.7,11.99,1.28,1.14,0.31,0.29
2018-06,18.83,19.26,12.12,12.0,1.17,1.14,0.33,0.34
2018-07,20.36,19.96,11.78,11.33,1.03,1.01,0.32,0.36
2018-08,25.03,20.98,11.11,11.23,0.87,0.9,0.3,0.35
2018-09,28.73,24.98,11.71,11.35,0.85,0.85,0.29,0.34
2018-10,32.11,30.13,14.88,13.94,0.92,0.86,0.33,0.33
2018-11,26.04,22.64,16.77,15.68,0.98,0.93,0.23,0.22
2018-12,20.49,19.33,13.73,13.29,0.82,0.76,0.28,0.26
2019-01,21.48,20.56,13.58,13.31,0.71,0.67,0.33,0.31
2019-02,21.04,18.85,14.4,13.65,0.78,0.72,0.3,0.28
2019-03,24.09,23.67,14.6,13.83,0.87,0.81,0.26,0.25
2019-04,26.24,23.72,14.86,13.86,1.05,0.97,0.3,0.31
2019-05,25.15,22.23,13.4,12.91,0.98,0.95,0.37,0.35
2019-06,25.32,21.73,11.78,11.35,0.89,0.85,0.33,0.33
2019-07,24.76,21.54,10.15,10.64,0.75,0.76,0.28,0.32
2019-08,26.42,23.32,11.62,11.38,0.74,0.75,0.28,0.33
2019-09,32.42,31.41,13.38,13.47,0.77,0.72,0.35,0.33
2019-10,25.0,22.31,11.83,11.92,0.92,0.91,0.33,0.36
2019-11,37.14,36.02,14.86,14.0,0.59,0.53,0.24,0.25
2019-12,25.97,24.7,14.96,14.68,0.71,0.68,0.28,0.26
2020-01,14.19,15.22,12.84,12.34,0.72,0.67,0.29,0.29
2020-02,15.51,14.78,13.91,13.17,0.86,0.8,0.36,0.35
2020-03,15.93,17.27,13.78,13.44,0.95,0.88,0.25,0.26
2020-04,16.81,18.71,14.31,13.71,0.98,0.94,0.21,0.21
2020-05,23.13,20.35,12.59,12.76,1.04,1.01,0.36,0.34
2020-06,25.33,22.13,11.49,11.56,1.11,1.11,0.39,0.4
2020-07,25.1,21.43,10.98,11.02,1.0,1.02,0.46,0.5
2020-08,21.86,20.7,10.82,11.07,0.99,1.0,0.44,0.46
2020-09,27.69,22.23,10.87,11.1,0.95,0.98,0.53,0.57
2020-10,20.93,21.03,10.56,11.2,0.7,0.74,0.27,0.3
2020-11,20.19,20.54,10.75,11.83,0.67,0.72,0.21,0.25
2020-12,18.25,18.83,12.62,12.89,0.82,0.82,0.25,0.24
2021-01,14.6,13.97,10.6,11.78,0.7,0.74,0.4,0.39
2021-02,20.28,19.69,13.75,13.57,0.65,0.67,0.28,0.29
2021-03,17.76,17.53,11.92,12.65,0.86,0.82,0.26,0.29
2021-04,23.48,22.02,13.55,13.16,0.86,0.87,0.26,0.25
2021-05,22.04,21.76,12.49,12.66,0.97,0.96,0.25,0.25
2021-06,22.49,19.58,11.09,11.79,0.87,0.87,0.45,0.42
2021-07,18.42,19.18,9.98,11.32,0.78,0.85,0.49,0.52
2021-08,25.83,22.26,10.98,11.69,0.86,0.93,0.56,0.59
2021-09,23.17,21.43,11.14,11.76,0.92,0.96,0.57,0.59
2021-10,18.37,18.56,12.46,12.68,1.0,0.97,0.43,0.47
2021-11,22.39,21.92,10.61,11.82,1.01,1.14,0.49,0.51
2021-12,21.22,21.81,12.27,12.55,0.73,0.73,0.25,0.25
2022-01,16.63,18.04,13.36,13.37,0.78,0.79,0.33,0.31
2022-02,16.62,15.51,12.86,13.23,0.76,0.77,0.41,0.37
