month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,16.47,16.9,8.85,8.68,0.49,0.53,0.37,0.32
2014-02,34.65,34.1,14.07,12.74,0.78,0.75,0.45,0.45
2014-03,34.35,31.47,14.65,14.27,0.96,0.95,0.78,0.73
2014-04,19.04,20.01,12.8,12.6,1.19,1.07,0.7,0.68
2014-05,34.74,32.1,10.72,11.11,1.08,1.05,0.58,0.58
2014-06,51.16,45.55,10.51,10.31,1.05,1.02,0.73,0.62
2014-07,43.01,46.91,7.36,7.0,0.61,0.6,0.29,0.32
2014-08,47.6,49.8,7.24,7.35,0.64,0.62,0.35,0.35
2014-09,45.65,43.69,9.08,8.84,0.66,0.65,0.52,0.46
2014-10,43.77,41.62,16.45,15.61,0.81,0.74,0.54,0.49
2014-11,30.5,27.51,16.62,15.9,0.98,0.9,0.62,0.59
2014-12,14.33,16.25,15.8,15.55,1.28,1.15,1.0,0.9
2015-01,18.99,20.82,10.43,10.09,0.75,0.72,0.58,0.56
2015-02,25.58,23.12,13.03,11.66,0.89,0.8,0.53,0.49
2015-03,22.76,20.95,11.66,11.4,0.98,0.9,0.64,0.61
2015-04,30.21,25.64,13.56,12.54,1.28,1.12,0.79,0.69
2015-05,46.79,45.77,8.44,8.09,0.82,0.75,0.38,0.35
2015-06,37.92,41.53,6.87,7.08,0.66,0.66,0.35,0.32
2015-07,44.14,45.13,8.08,7.87,0.66,0.61,0.76,0.67
2015-08,41.74,46.14,7.66,7.01,0.6,0.57,0.45,0.38
2015-09,31.68,35.12,12.88,11.96,0.7,0.66,0.53,0.47
2015-10,49.49,49.77,25.72,24.08,0.82,0.7,0.7,0.6
2015-11,32.37,35.33,21.16,20.48,0.86,0.79,0.57,0.53
2015-12,21.45,22.61,14.24,12.61,0.88,0.8,0.72,0.6
2016-01,24.85,27.61,18.81,17.25,0.93,0.82,0.79,0.65
2016-02,14.7,16.26,16.47,14.57,1.03,0.91,0.63,0.53
2016-03,16.65,17.66,16.01,14.56,1.14,0.99,0.64,0.55
2016-04,29.51,27.57,14.08,12.91,1.25,1.09,0.7,0.61
2016-05,27.03,29.66,11.75,10.6,1.16,1.0,0.55,0.47
2016-06,24.3,26.03,10.62,9.43,1.1,0.95,0.59,0.5
2016-07,38.82,37.69,9.67,8.7,1.01,0.87,0.6,0.48
2016-08,39.79,42.08,9.02,8.62,0.87,0.8,0.46,0.4
2016-09,32.63,34.04,10.42,9.78,1.21,1.05,0.44,0.39
2016-10,35.96,32.16,13.53,11.88,1.43,1.24,0.64,0.49
2016-11,23.12,24.73,12.75,11.8,1.08,0.95,0.73,0.62
2016-12,24.36,27.05,9.55,8.18,0.76,0.63,0.69,0.52
2017-01,22.43,25.45,9.16,8.26,0.61,0.54,0.53,0.46
