month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,61.2,55.42,15.51,19.09,0.6,0.8,0.46,0.52
2014-02,58.68,44.08,46.51,40.02,1.27,1.3,0.89,0.7
2014-03,46.21,29.16,34.88,31.66,1.38,1.36,0.44,0.54
2014-04,38.61,35.28,18.81,18.09,1.59,1.42,0.54,0.48
2014-05,38.71,36.66,14.68,15.8,1.61,1.51,0.4,0.46
2014-06,47.01,37.84,11.86,12.91,1.28,1.27,0.44,0.48
2014-07,46.57,44.7,10.86,10.91,0.88,0.89,0.5,0.48
2014-08,59.03,,9.31,9.4,0.84,0.78,0.46,0.49
2014-09,113.27,110.62,17.45,15.67,1.18,1.24,1.22,1.33
2014-10,145.0,139.2,28.1,27.95,1.39,1.61,1.46,1.78
2014-11,101.5,89.74,40.69,39.59,1.98,1.74,1.45,1.38
2014-12,30.89,33.88,18.03,17.44,1.38,1.29,0.41,0.45
2015-01,33.57,36.16,15.53,14.19,0.92,0.88,0.36,0.44
2015-02,33.16,32.6,21.82,19.6,1.27,1.2,0.44,0.48
2015-03,39.51,32.61,24.44,21.36,1.49,1.38,0.48,0.49
2015-04,30.58,34.8,18.49,18.28,1.58,1.48,0.33,0.46
2015-05,32.2,37.87,12.59,13.62,1.34,1.29,0.39,0.47
2015-06,34.23,41.53,9.61,11.09,1.1,1.07,0.4,0.46
2015-07,49.88,49.66,9.41,9.66,0.75,0.76,0.52,0.48
2015-08,84.93,85.67,14.28,12.96,1.13,1.09,1.12,1.03
2015-09,161.32,153.73,31.99,32.04,2.22,2.29,2.52,3.01
2015-10,178.3,167.0,58.55,53.68,2.3,2.34,2.89,3.23
2015-11,98.12,90.08,37.59,35.3,1.7,1.81,1.06,1.39
2015-12,38.71,33.77,26.17,23.36,1.2,1.22,0.48,0.52
2016-01,32.38,29.56,29.76,24.72,1.39,1.38,0.55,0.48
2016-02,31.51,28.21,28.05,25.21,1.3,1.27,0.47,0.47
2016-03,36.48,30.9,24.83,22.48,1.65,1.5,0.41,0.46
2016-04,34.66,33.7,20.48,19.72,1.79,1.63,0.38,0.46
2016-05,36.95,36.09,15.88,16.4,1.72,1.59,0.48,0.46
2016-06,33.39,37.49,12.81,13.59,1.32,1.3,0.46,0.48
2016-07,35.32,39.81,11.72,13.14,1.16,1.17,0.47,0.5
2016-08,42.0,43.0,11.33,11.49,1.04,1.02,0.63,0.51
2016-09,43.46,39.34,13.87,13.76,1.47,1.3,0.5,0.48
2016-10,41.4,36.5,16.38,15.69,1.7,1.49,0.45,0.47
2016-11,32.68,34.97,18.76,18.01,1.49,1.47,0.39,0.47
2016-12,32.64,37.4,12.48,13.29,0.9,0.92,0.39,0.44
2017-01,28.36,34.69,16.53,16.61,0.84,0.94,0.34,0.45
2017-02,33.08,36.89,16.8,16.33,1.11,1.04,0.37,0.45
2017-03,35.38,34.74,17.98,17.39,1.27,1.23,0.42,0.49
2017-04,35.12,33.47,19.27,19.38,1.36,1.37,0.36,0.48
2017-05,33.62,37.26,13.42,14.47,1.36,1.31,0.42,0.47
2017-06,32.26,37.43,13.42,13.84,1.36,1.29,0.38,0.47
2017-07,37.19,41.49,9.98,10.68,0.92,0.93,0.4,0.48
2017-08,43.86,45.9,9.41,9.61,0.76,0.76,0.38,0.46
2017-09,55.31,,12.18,10.89,0.95,0.87,0.46,0.51
2017-10,54.55,47.81,17.5,16.32,1.23,1.23,0.69,0.58
2017-11,35.5,33.03,21.28,19.81,1.31,1.31,0.34,0.47
2017-12,33.65,35.62,16.04,15.44,0.99,0.98,0.44,0.46
2018-01,39.35,38.18,15.73,14.92,0.83,0.91,0.39,0.44
2018-02,39.99,36.75,19.6,16.84,1.17,1.0,0.34,0.47
2018-03,31.43,33.95,18.96,18.23,1.28,1.28,0.46,0.47
2018-04,38.67,35.74,17.62,17.41,1.48,1.38,0.4,0.48
2018-05,44.72,38.41,12.97,13.07,1.31,1.23,0.4,0.49
2018-06,46.31,40.93,11.06,11.57,1.04,1.02,0.44,0.49
