month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,26.1,42.05,21.51,26.04,0.59,1.14,0.35,0.58
2014-02,30.86,33.53,43.72,31.42,1.65,1.48,0.55,0.7
2014-03,33.76,32.16,39.57,31.6,1.98,1.69,0.73,0.74
2014-04,27.06,27.36,35.42,29.5,2.8,2.27,0.58,0.65
2014-05,27.72,26.3,31.42,25.38,2.92,2.38,0.73,0.67
2014-06,29.03,26.58,31.85,26.1,2.73,2.29,0.73,0.75
2014-07,37.33,34.83,33.07,27.85,1.98,1.7,0.8,0.74
2014-08,,39.04,26.18,25.98,1.9,1.66,0.84,0.71
2014-09,83.01,71.71,52.21,38.42,1.83,1.52,1.23,1.27
2014-10,140.81,144.75,83.65,79.64,2.34,2.08,2.58,2.62
2014-11,52.33,34.57,95.02,97.13,2.89,2.72,1.34,1.06
2014-12,18.65,24.46,36.63,29.85,2.99,2.44,0.59,0.68
2015-01,21.95,23.44,44.24,32.26,2.69,2.08,0.71,0.7
2015-02,21.45,29.0,41.74,30.0,2.65,2.01,0.9,0.74
2015-03,28.36,28.97,36.85,30.46,2.4,1.96,0.9,0.78
2015-04,28.03,29.69,33.53,26.06,2.7,2.18,0.53,0.64
2015-05,26.35,24.53,33.63,26.86,3.18,2.54,0.56,0.64
2015-06,26.94,26.17,31.41,25.45,3.33,2.39,1.05,0.8
2015-07,37.3,41.29,22.2,25.1,1.43,1.41,0.73,0.7
2015-08,73.68,70.57,39.03,35.8,1.55,1.51,1.21,1.22
2015-09,146.07,130.07,155.83,111.48,2.3,1.83,2.78,2.43
2015-10,186.54,171.69,142.83,95.11,2.41,1.93,3.38,3.12
2015-11,51.96,42.74,44.33,35.36,2.63,2.11,0.76,0.74
2015-12,45.43,34.05,38.86,31.35,2.15,1.86,0.92,0.79
2016-01,51.55,42.02,31.14,28.79,1.61,1.6,0.84,0.79
2016-02,71.99,58.2,37.86,34.68,2.04,1.67,1.27,1.01
2016-03,56.32,34.04,38.89,31.14,2.49,2.05,0.69,0.75
2016-04,51.18,30.7,31.62,26.21,2.31,2.01,0.56,0.66
2016-05,32.02,27.57,30.1,24.65,3.2,2.55,0.69,0.66
2016-06,26.63,26.03,28.89,25.23,2.85,2.37,0.71,0.67
2016-07,29.23,28.41,26.24,25.82,2.65,2.15,0.68,0.68
2016-08,36.52,33.98,22.96,24.78,1.67,1.67,0.7,0.71
2016-09,28.58,28.1,28.3,25.46,2.76,2.2,0.72,0.67
2016-10,23.71,24.08,32.96,27.89,3.22,2.48,0.82,0.7
2016-11,27.3,24.66,33.16,28.93,2.57,2.26,0.73,0.73
2016-12,20.51,26.9,36.92,29.13,2.38,2.11,0.52,0.67
2017-01,20.16,22.99,43.1,35.62,2.1,1.83,0.69,0.74
2017-02,20.13,26.46,31.76,31.57,1.84,1.76,0.56,0.67
2017-03,21.85,26.11,36.02,29.87,2.54,2.06,0.62,0.68
2017-04,22.99,23.09,44.71,32.61,3.08,2.4,0.57,0.69
2017-05,25.18,24.37,31.9,28.68,2.75,2.47,0.72,0.7
2017-06,26.21,26.74,32.1,26.49,2.85,2.23,0.59,0.69
2017-07,28.57,31.37,25.19,25.07,1.87,1.79,0.71,0.69
2017-08,32.66,30.56,28.06,26.46,2.0,1.84,0.66,0.69
2017-09,36.32,35.83,25.04,26.3,1.69,1.76,0.57,0.71
2017-10,,39.24,32.22,29.52,2.12,1.82,0.92,0.79
2017-11,23.65,24.98,36.32,30.96,2.55,2.21,0.59,0.72
2017-12,21.4,29.48,37.79,29.75,1.93,1.8,0.49,0.68
2018-01,19.45,24.02,39.72,34.15,2.15,1.91,0.59,0.69
2018-02,22.71,27.88,41.08,30.95,2.22,1.88,0.49,0.67
2018-03,23.24,27.08,37.71,30.82,2.13,1.92,0.64,0.72
2018-04,27.75,26.84,33.36,29.36,2.54,2.19,0.38,0.62
2018-05,29.24,27.38,27.84,26.08,2.79,2.41,0.61,0.64
2018-06,31.73,30.93,26.11,24.71,2.15,1.96,0.58,0.69
2018-07,35.98,35.26,26.11,24.37,1.85,1.63,0.72,0.69
2018-08,,46.35,28.1,26.5,1.56,1.45,0.66,0.73
2018-09,76.27,62.99,38.96,33.34,1.83,1.57,1.09,1.09
2018-10,54.98,47.7,41.2,32.58,2.27,1.81,0.78,0.86
2018-11,24.34,24.83,36.19,30.97,2.48,2.17,0.7,0.71
2018-12,23.06,27.39,28.23,28.22,1.86,1.89,0.69,0.71
2019-01,20.8,25.76,43.43,32.88,2.31,1.8,0.83,0.74
2019-02,23.32,30.21,30.48,29.42,1.68,1.64,0.85,0.7
2019-03,30.05,31.53,34.42,29.19,1.93,1.75,0.51,0.68
2019-04,24.32,24.21,35.23,32.14,2.69,2.35,0.48,0.66
2019-05,27.13,29.59,26.34,25.89,2.03,2.06,0.61,0.68
2019-06,31.04,26.57,29.63,27.6,2.51,2.27,0.66,0.74
2019-07,37.37,45.27,25.56,27.56,1.4,1.37,0.77,0.72
2019-08,55.48,54.76,30.33,28.83,1.21,1.33,0.72,0.89
2019-09,127.37,116.76,62.02,54.24,1.75,1.53,2.59,2.35
2019-10,75.15,60.7,32.63,35.13,1.87,1.71,0.87,1.07
2019-11,47.13,47.84,58.3,44.27,1.88,1.72,0.78,0.9
2019-12,24.43,24.16,41.28,32.92,2.57,2.17,0.56,0.67
2020-01,21.75,28.59,33.37,30.7,1.94,1.83,1.1,0.78
2020-02,21.97,28.5,31.97,31.17,1.89,1.77,0.76,0.72
2020-03,26.72,27.9,31.63,28.44,2.21,2.0,0.5,0.68
2020-04,29.96,25.5,39.92,30.2,2.85,2.29,0.54,0.66
2020-05,24.14,25.07,31.54,29.56,2.52,2.37,0.47,0.66
2020-06,27.07,29.55,26.45,25.37,2.63,2.21,1.02,0.71
2020-07,29.03,28.14,25.13,24.76,2.44,2.06,0.92,0.73
2020-08,30.61,34.52,24.87,25.56,1.97,1.71,0.86,0.72
2020-09,26.94,29.57,26.3,27.67,2.25,2.04,0.77,0.73
2020-10,24.67,29.12,36.77,31.86,2.31,1.87,1.23,0.81
2020-11,25.33,28.61,28.07,28.18,1.96,1.97,0.55,0.7
2020-12,23.65,27.14,35.96,30.64,1.77,1.77,0.37,0.68
2021-01,18.88,24.24,38.05,34.05,1.92,1.78,0.84,0.74
2021-02,23.27,28.97,40.44,33.07,1.67,1.57,0.54,0.71
2021-03,23.01,32.83,31.81,31.27,2.08,1.83,0.68,0.72
2021-04,28.8,27.81,36.58,28.66,2.25,2.01,0.5,0.67
2021-05,26.76,24.18,34.77,29.53,2.76,2.32,0.69,0.69
2021-06,29.67,29.45,27.06,26.67,2.02,1.86,0.72,0.7
2021-07,27.38,30.72,25.44,26.33,1.84,1.73,0.68,0.7
2021-08,29.58,31.69,25.66,26.22,2.2,1.92,0.68,0.68
2021-09,32.76,25.45,35.44,31.01,2.79,2.18,0.83,0.76
2021-10,31.88,30.07,27.12,25.96,1.93,1.81,0.74,0.69
2021-11,25.27,26.37,27.22,28.1,2.56,2.29,0.54,0.67
2021-12,20.63,24.75,38.13,31.55,2.24,2.04,0.58,0.71
2022-01,20.01,24.64,39.44,34.28,2.26,1.97,0.74,0.72
2022-02,25.24,29.35,30.61,30.5,1.91,1.77,0.77,0.72
2022-03,23.76,28.57,30.15,27.14,2.4,2.11,0.45,0.66
2022-04,28.41,27.18,37.6,30.43,2.37,2.11,0.46,0.67
2022-05,24.68,25.22,34.1,27.83,3.29,2.48,0.75,0.68
2022-06,29.67,29.61,23.92,24.9,2.34,2.01,0.96,0.69
2022-07,27.7,26.41,30.45,27.9,2.26,2.01,0.75,0.74
2022-08,31.95,31.19,22.67,27.53,1.79,1.72,0.76,0.7
2022-09,30.73,32.21,24.05,26.46,1.8,1.77,0.77,0.71
2022-10,28.51,27.91,32.3,29.17,2.24,1.94,0.93,0.76
2022-11,21.02,25.45,34.32,30.92,2.44,2.1,0.56,0.69
2022-12,23.57,25.66,35.05,31.94,2.0,1.91,0.49,0.67
2023-01,22.69,31.83,35.79,32.27,1.7,1.59,0.66,0.72
2023-02,20.92,24.27,36.98,34.39,2.0,1.9,0.53,0.67
2023-03,24.49,26.13,35.74,30.97,2.36,2.0,0.55,0.67
2023-04,27.37,27.33,32.32,28.1,2.1,2.03,0.4,0.64
2023-05,30.16,26.45,35.11,29.58,2.46,2.21,0.59,0.68
2023-06,26.77,27.78,30.86,28.38,2.22,1.96,0.92,0.75
2023-07,30.78,35.95,24.98,27.49,1.64,1.65,0.86,0.75
2023-08,44.35,42.46,27.86,28.36,1.45,1.51,0.72,0.75
2023-09,65.59,64.07,44.88,36.57,1.81,1.62,1.43,1.14
2023-10,57.48,66.05,39.23,40.61,1.62,1.66,1.11,1.09
2023-11,27.95,28.2,33.88,30.81,2.13,1.99,0.73,0.71
2023-12,21.18,24.47,33.99,32.33,2.17,2.04,0.82,0.72
2024-01,21.14,28.05,33.36,31.7,1.9,1.84,1.09,0.78
2024-02,33.35,32.16,30.65,29.76,1.96,1.77,1.02,0.75
2024-03,27.61,33.65,26.81,27.94,1.91,1.91,0.86,0.76
2024-04,31.33,31.25,22.22,24.93,2.0,2.21,0.42,0.64
2024-05,27.34,26.3,29.58,28.78,2.72,2.57,0.68,0.72
2024-06,27.99,27.04,29.61,28.42,2.28,2.02,0.74,0.75
2024-07,33.51,35.54,28.21,28.9,1.88,1.77,0.92,0.78
2024-08,33.35,32.66,25.42,27.27,1.64,1.7,0.71,0.73
