month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,28.13,28.27,15.97,12.08,0.47,0.56,0.4,0.31
2014-02,24.59,26.36,17.62,15.49,0.86,0.88,0.25,0.27
2014-03,23.43,26.17,16.65,15.69,1.11,1.04,0.31,0.31
2014-04,20.49,22.55,13.68,13.32,1.33,1.25,0.27,0.29
2014-05,19.99,22.12,14.63,13.97,1.62,1.49,0.22,0.25
2014-06,19.7,23.84,11.47,12.09,1.36,1.36,0.31,0.3
2014-07,24.88,28.5,9.75,9.58,0.75,0.8,0.28,0.3
2014-08,27.82,30.36,8.88,9.62,0.86,0.87,0.29,0.32
2014-09,41.94,37.12,11.52,11.77,0.95,1.01,0.27,0.33
2014-10,52.22,52.65,20.29,19.46,1.11,1.17,0.39,0.43
2014-11,31.41,39.19,21.04,20.36,1.51,1.38,0.32,0.35
2014-12,15.68,21.99,16.03,14.78,1.44,1.37,0.27,0.25
2015-01,25.52,26.22,13.46,12.5,0.94,0.96,0.32,0.33
2015-02,20.53,24.8,14.5,12.94,0.97,0.92,0.26,0.28
2015-03,25.56,25.12,15.72,14.31,1.1,1.04,0.23,0.25
2015-04,17.59,22.75,16.05,14.76,1.73,1.45,0.25,0.25
2015-05,17.95,23.83,12.11,12.19,1.28,1.25,0.35,0.32
2015-06,20.88,24.38,10.43,11.48,1.08,1.19,0.29,0.33
2015-07,24.42,27.21,10.99,10.71,0.88,0.89,0.33,0.34
2015-08,34.24,34.75,12.28,11.07,0.88,0.89,0.39,0.37
2015-09,53.01,51.49,17.93,15.9,1.09,1.1,0.5,0.47
2015-10,74.59,75.51,31.53,30.44,1.2,1.4,0.52,0.59
2015-11,40.46,44.06,28.89,26.88,1.47,1.4,0.41,0.38
2015-12,28.76,32.65,18.41,17.95,0.91,1.0,0.31,0.32
2016-01,26.76,31.24,21.4,19.37,1.06,1.09,0.31,0.3
2016-02,23.68,24.96,16.76,15.86,1.08,1.09,0.29,0.29
2016-03,20.45,22.83,16.22,14.86,1.38,1.34,0.17,0.19
2016-04,18.14,21.94,15.44,14.11,1.78,1.46,0.18,0.19
2016-05,18.35,21.61,15.51,14.25,1.7,1.6,0.25,0.24
2016-06,18.49,22.22,13.58,13.41,1.56,1.45,0.39,0.36
2016-07,24.01,24.85,10.42,11.11,1.19,1.15,0.3,0.33
2016-08,23.13,26.4,10.75,10.77,1.07,1.03,0.38,0.35
2016-09,22.83,23.79,13.62,13.43,1.86,1.56,0.33,0.34
2016-10,26.22,23.31,15.02,13.74,1.77,1.59,0.26,0.28
2016-11,24.26,24.37,15.91,15.24,1.25,1.31,0.3,0.31
2016-12,22.85,23.62,13.74,13.46,1.08,1.06,0.21,0.24
2017-01,22.07,24.32,13.93,13.41,0.94,1.0,0.26,0.29
2017-02,21.98,24.22,14.06,13.21,0.98,0.95,0.22,0.26
2017-03,22.02,23.56,13.32,12.7,1.17,1.15,0.33,0.32
2017-04,23.21,22.93,14.33,13.77,1.37,1.23,0.24,0.26
2017-05,21.33,22.65,13.45,13.27,1.68,1.54,0.25,0.25
2017-06,21.47,22.79,12.62,12.48,1.42,1.33,0.23,0.27
2017-07,22.96,25.27,11.18,11.24,0.98,1.02,0.3,0.32
2017-08,27.84,28.14,10.76,10.27,0.88,0.87,0.38,0.35
2017-09,27.96,26.44,13.99,13.3,1.21,1.19,0.29,0.33
2017-10,26.93,26.21,16.31,15.16,1.25,1.23,0.35,0.34
2017-11,27.91,26.63,19.02,17.72,1.36,1.33,0.22,0.25
2017-12,23.02,24.41,17.83,16.04,1.07,1.11,0.18,0.22
2018-01,21.78,24.76,14.08,13.85,0.89,0.94,0.21,0.24
2018-02,22.72,23.25,15.69,14.44,1.05,0.98,0.19,0.23
2018-03,24.48,24.28,13.19,12.92,0.99,1.0,0.21,0.24
2018-04,23.56,22.64,15.46,14.2,1.51,1.36,0.24,0.25
2018-05,22.48,22.41,12.61,13.06,1.47,1.41,0.2,0.24
2018-06,21.74,24.61,11.33,11.38,1.15,1.12,0.24,0.29
2018-07,25.33,27.6,9.68,10.05,0.88,0.91,0.3,0.32
2018-08,30.97,31.19,10.65,10.35,0.92,0.89,0.31,0.33
2018-09,42.24,39.22,11.4,11.63,0.99,1.0,0.32,0.34
2018-10,,47.86,21.54,20.1,1.29,1.3,0.4,0.41
2018-11,30.98,31.49,18.84,18.99,1.17,1.2,0.31,0.32
2018-12,24.93,24.86,13.77,13.46,0.93,1.0,0.24,0.27
2019-01,21.55,24.8,13.16,12.6,0.85,0.87,0.23,0.26
2019-02,22.78,23.2,13.01,12.46,0.97,0.93,0.17,0.22
2019-03,25.11,25.27,14.52,13.47,1.07,1.02,0.25,0.26
2019-04,27.55,22.99,14.92,14.32,1.44,1.35,0.21,0.24
2019-05,20.22,22.3,12.92,12.86,1.21,1.22,0.27,0.29
2019-06,23.08,24.84,10.63,11.06,0.97,1.02,0.32,0.32
2019-07,25.97,30.22,8.4,9.05,0.59,0.7,0.25,0.3
2019-08,31.39,30.97,10.47,10.08,0.72,0.77,0.3,0.32
2019-09,37.56,39.24,13.0,12.63,0.84,0.89,0.31,0.35
2019-10,37.1,32.36,16.84,16.02,1.34,1.3,0.35,0.37
2019-11,33.03,34.57,16.11,16.14,0.82,0.98,0.3,0.35
2019-12,27.85,31.49,16.1,16.58,0.89,1.01,0.24,0.3
2020-01,19.12,24.2,12.14,12.37,0.77,0.89,0.24,0.27
2020-02,25.76,26.59,12.69,12.65,0.91,0.95,0.22,0.27
2020-03,19.15,22.05,13.35,13.12,1.21,1.2,0.19,0.22
2020-04,19.78,22.43,14.49,13.74,1.24,1.24,0.18,0.21
2020-05,21.58,22.09,13.07,13.07,1.22,1.22,0.21,0.23
2020-06,20.4,24.62,10.93,11.57,1.13,1.16,0.24,0.28
2020-07,21.75,26.17,9.33,10.14,0.89,0.93,0.29,0.31
2020-08,22.82,26.79,11.66,11.16,1.06,1.04,0.4,0.36
2020-09,24.06,24.1,13.32,12.46,1.27,1.16,0.39,0.36
2020-10,25.05,25.88,14.22,13.9,1.13,1.21,0.26,0.3
2020-11,24.83,25.6,14.52,14.72,0.98,1.07,0.23,0.28
2020-12,24.52,24.2,14.38,14.27,0.97,1.05,0.17,0.23
2021-01,20.33,24.17,11.4,11.77,0.92,1.01,0.34,0.34
2021-02,23.67,24.44,14.12,13.26,0.81,0.86,0.21,0.25
2021-03,19.71,22.76,12.71,12.72,1.24,1.13,0.2,0.25
2021-04,18.58,23.19,14.38,13.26,1.11,1.12,0.27,0.27
2021-05,22.82,23.25,11.87,12.77,1.08,1.19,0.17,0.22
2021-06,20.8,23.78,12.04,11.99,1.03,1.06,0.31,0.33
2021-07,21.78,24.2,11.3,11.54,1.03,1.07,0.36,0.36
2021-08,22.63,26.03,11.21,11.19,1.0,1.01,0.3,0.33
2021-09,25.78,25.06,13.36,13.03,1.18,1.18,0.29,0.32
2021-10,18.24,23.59,14.84,14.22,1.2,1.24,0.31,0.34
2021-11,20.67,22.38,14.16,13.86,1.4,1.37,0.23,0.25
2021-12,23.74,23.66,12.64,12.15,0.94,0.95,0.19,0.22
2022-01,20.64,24.29,13.25,12.69,0.93,0.97,0.26,0.29
2022-02,22.0,25.27,12.14,11.5,1.0,0.93,0.29,0.29
2022-03,27.65,23.6,13.02,13.01,1.23,1.22,0.25,0.28
2022-04,23.37,24.0,13.41,12.9,1.3,1.23,0.26,0.28
2022-05,20.18,21.92,13.8,13.37,1.42,1.37,0.2,0.22
2022-06,16.21,22.45,13.22,13.04,1.46,1.37,0.37,0.36
2022-07,23.57,25.07,9.74,10.68,1.0,1.03,0.23,0.27
2022-08,24.54,25.36,11.93,11.7,1.2,1.12,0.34,0.35
2022-09,23.43,24.11,13.34,13.05,1.25,1.27,0.32,0.34
2022-10,21.13,24.17,15.93,14.88,1.3,1.32,0.27,0.3
2022-11,27.91,25.88,16.04,16.11,1.21,1.23,0.24,0.28
2022-12,29.54,27.43,11.98,12.13,0.94,1.01,0.24,0.28
2023-01,25.69,26.8,11.55,10.97,0.9,0.86,0.33,0.32
2023-02,19.93,24.65,11.56,11.51,0.82,0.91,0.19,0.24
2023-03,22.42,24.11,12.05,12.05,0.94,0.98,0.22,0.26
2023-04,21.68,23.16,12.78,12.84,1.11,1.14,0.2,0.25
2023-05,21.71,24.31,11.08,11.57,1.17,1.18,0.23,0.25
2023-06,20.84,24.12,11.44,11.84,1.05,1.1,0.26,0.3
2023-07,27.71,28.96,9.06,9.84,0.68,0.79,0.28,0.3
2023-08,31.56,33.18,8.63,8.96,0.59,0.68,0.3,0.31
2023-09,39.08,36.49,11.53,11.87,0.82,0.91,0.27,0.33
2023-10,43.89,42.51,16.51,16.31,1.06,1.15,0.37,0.41
2023-11,32.07,39.18,19.08,19.51,1.07,1.19,0.38,0.39
2023-12,22.18,23.26,14.28,13.75,1.04,1.08,0.28,0.28
2024-01,21.14,24.49,12.19,12.59,0.91,1.0,0.23,0.25
2024-02,20.94,24.02,12.86,13.16,0.94,1.04,0.22,0.25
2024-03,23.03,23.47,13.14,13.09,1.19,1.19,0.21,0.25
2024-04,19.92,21.51,14.75,13.75,1.63,1.53,0.19,0.2
2024-05,19.97,21.43,12.5,12.93,1.41,1.45,0.18,0.2
2024-06,24.12,24.01,11.56,11.87,1.18,1.18,0.33,0.31
2024-07,30.19,29.17,9.65,10.4,0.8,0.91,0.36,0.35
2024-08,24.77,27.25,11.64,11.43,0.94,0.98,0.37,0.36
2024-09,27.73,26.86,14.97,13.99,1.12,1.13,0.33,0.35
2024-10,24.8,25.18,17.23,16.03,1.21,1.25,0.26,0.28
2024-11,19.31,25.6,17.48,17.35,1.12,1.22,0.26,0.27
2024-12,21.65,23.55,14.07,14.1,1.0,1.12,0.21,0.24
