month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,44.73,32.71,14.25,11.37,0.51,0.44,0.69,0.36
2014-02,22.9,24.33,13.14,12.02,0.58,0.53,0.46,0.43
2014-03,23.93,24.52,13.4,12.34,0.61,0.57,0.55,0.5
2014-04,19.7,20.48,12.32,12.03,0.68,0.64,0.96,0.83
2014-05,16.8,17.45,12.33,11.59,0.92,0.85,0.32,0.32
2014-06,25.58,24.36,10.58,10.25,0.82,0.81,0.35,0.34
2014-07,33.31,32.21,9.52,8.92,0.55,0.53,0.35,0.32
2014-08,26.21,25.51,10.36,9.91,0.72,0.66,0.47,0.41
2014-09,47.46,41.42,8.97,8.88,0.59,0.56,0.29,0.3
2014-10,43.59,45.1,18.24,17.56,0.75,0.7,0.48,0.39
2014-11,18.13,20.7,13.54,12.14,0.85,0.77,0.39,0.38
2014-12,15.18,16.68,13.53,12.18,0.77,0.68,0.78,0.6
2015-01,19.2,18.59,14.39,12.66,0.65,0.59,0.7,0.51
2015-02,34.64,31.6,12.9,11.98,0.56,0.53,0.38,0.38
2015-03,30.78,32.08,12.33,11.86,0.65,0.59,0.42,0.4
2015-04,14.36,17.06,12.33,11.4,0.85,0.8,0.46,0.39
2015-05,16.46,17.35,12.7,11.81,0.87,0.81,0.53,0.46
2015-06,25.92,24.14,9.97,9.07,0.85,0.74,0.41,0.35
2015-07,24.78,25.77,9.38,9.27,0.6,0.57,0.42,0.39
2015-08,31.57,31.17,9.42,9.08,0.57,0.55,0.39,0.34
2015-09,52.44,52.31,18.37,17.54,0.66,0.64,0.46,0.38
2015-10,65.76,71.22,26.65,26.08,0.76,0.72,0.53,0.39
2015-11,14.97,17.9,17.8,14.94,0.85,0.75,0.53,0.41
2015-12,16.25,16.01,14.59,12.43,0.56,0.5,0.55,0.46
2016-01,17.4,18.38,13.06,11.8,0.48,0.48,0.43,0.41
2016-02,19.89,19.03,13.5,11.91,0.56,0.5,0.49,0.43
2016-03,15.64,18.58,12.31,11.46,0.7,0.63,0.37,0.38
2016-04,11.76,15.8,12.96,12.02,0.81,0.78,0.39,0.37
2016-05,13.78,17.81,13.58,11.85,1.1,0.99,0.52,0.35
2016-06,16.17,19.78,10.98,10.32,0.92,0.87,0.44,0.35
2016-07,20.82,23.55,9.07,8.8,0.73,0.68,0.47,0.4
2016-08,27.71,28.18,8.73,8.65,0.66,0.63,0.38,0.35
2016-09,24.61,23.94,8.49,8.66,0.74,0.71,0.41,0.39
2016-10,21.26,23.02,9.85,9.21,0.94,0.86,0.41,0.37
2016-11,20.25,21.98,11.17,10.68,0.77,0.75,0.49,0.45
2016-12,14.23,16.91,12.75,11.83,0.7,0.65,0.41,0.4
2017-01,18.04,22.27,12.52,11.56,0.59,0.54,0.77,0.58
2017-02,24.2,24.61,11.97,11.65,0.62,0.59,0.78,0.53
2017-03,19.65,20.93,13.1,11.84,0.73,0.65,0.5,0.44
2017-04,13.75,17.94,13.72,12.11,0.76,0.66,0.43,0.41
2017-05,13.66,18.78,13.55,12.11,1.02,0.89,0.32,0.29
2017-06,17.64,20.63,11.25,10.32,0.95,0.88,0.31,0.28
2017-07,23.77,24.72,9.82,9.03,0.74,0.69,0.41,0.36
2017-08,20.68,24.43,10.04,9.33,0.69,0.65,0.35,0.36
2017-09,21.36,24.92,11.01,10.0,0.77,0.69,0.29,0.34
2017-10,26.03,26.96,10.98,10.61,0.7,0.66,0.44,0.39
2017-11,11.64,16.77,14.19,12.29,0.88,0.78,0.32,0.32
2017-12,17.51,20.07,13.09,12.01,0.62,0.58,0.47,0.43
2018-01,14.99,19.53,13.01,11.9,0.66,0.6,0.45,0.43
2018-02,16.01,19.38,14.4,12.51,0.65,0.58,0.68,0.53
2018-03,26.7,24.38,12.9,11.91,0.66,0.6,0.67,0.52
2018-04,18.59,19.28,13.69,12.57,0.8,0.72,0.44,0.41
2018-05,11.8,17.48,11.33,10.95,0.98,0.92,0.36,0.34
2018-06,19.92,22.05,10.06,9.24,0.88,0.81,0.33,0.34
2018-07,25.43,25.55,8.64,8.59,0.64,0.65,0.32,0.34
2018-08,29.62,29.81,9.18,8.77,0.61,0.58,0.31,0.34
2018-09,41.25,39.11,9.25,9.06,0.61,0.58,0.3,0.33
2018-10,24.56,25.11,12.55,11.21,0.82,0.74,0.49,0.42
2018-11,15.47,17.43,12.76,11.85,0.83,0.76,0.57,0.48
2018-12,20.54,21.29,11.41,11.05,0.65,0.63,0.76,0.64
2019-01,25.38,23.67,12.28,11.55,0.55,0.53,0.57,0.46
2019-02,24.78,26.64,10.48,10.61,0.49,0.49,0.35,0.35
