month,ISPU_PM25_OBS,ISPU_PM25_MOD,ISPU_CO_OBS,ISPU_CO_MOD,ISPU_NO2_OBS,ISPU_NO2_MOD,ISPU_SO2_OBS,ISPU_SO2_MOD
2014-01,55.18,68.3,14.69,23.52,0.69,1.21,0.46,0.75
2014-02,83.8,81.53,42.71,40.98,1.81,1.9,1.32,1.34
2014-03,57.5,52.87,41.25,34.81,2.34,2.53,0.55,0.68
2014-04,52.5,53.22,33.29,31.39,3.07,3.04,0.7,0.73
2014-05,49.89,,33.88,34.03,3.62,3.64,0.59,0.72
2014-06,,53.37,27.08,29.25,2.99,3.13,0.89,0.78
2014-07,99.5,93.3,23.41,27.59,2.08,2.56,0.95,1.04
2014-08,101.28,90.21,42.84,40.45,3.65,3.64,1.42,1.19
2014-09,104.6,103.71,61.06,54.25,2.79,3.02,1.79,1.69
2014-10,78.12,81.73,93.78,86.89,2.9,2.93,1.7,1.71
2014-11,53.93,,104.8,98.85,3.53,3.64,1.17,1.0
2014-12,47.72,51.09,34.79,32.77,3.22,3.22,0.7,0.7
2015-01,42.24,53.73,33.85,30.05,2.53,2.66,0.69,0.73
2015-02,47.23,54.3,33.89,31.63,2.54,2.83,0.51,0.72
2015-03,54.54,53.63,38.33,31.65,2.78,2.85,0.58,0.73
2015-04,48.83,,31.06,33.73,2.9,3.32,0.46,0.7
2015-05,46.08,,31.6,33.88,3.52,3.58,0.57,0.72
2015-06,46.82,54.92,28.82,29.92,3.18,3.28,0.77,0.82
2015-07,72.58,72.33,27.11,29.78,2.12,2.3,1.09,1.0
2015-08,121.26,118.91,56.56,55.53,2.79,3.05,2.26,1.91
2015-09,196.26,192.69,183.75,196.38,2.92,3.37,5.03,5.83
2015-10,125.42,118.12,208.08,203.89,2.89,2.89,3.12,3.23
2015-11,,47.52,64.55,54.53,3.51,3.49,0.61,0.69
2015-12,46.72,51.09,35.11,32.11,2.27,2.62,0.64,0.69
2016-01,40.26,51.31,45.47,33.61,2.83,2.69,0.58,0.67
2016-02,46.28,,46.75,35.47,3.1,3.01,0.54,0.65
2016-03,,49.59,44.52,35.59,3.11,3.2,0.49,0.64
2016-04,,49.16,41.55,36.2,3.37,3.43,0.47,0.64
2016-05,46.28,48.38,31.88,35.03,3.57,3.86,0.64,0.7
2016-06,,53.98,27.15,30.11,3.03,3.24,0.81,0.79
2016-07,48.48,55.04,24.99,29.6,2.84,2.96,0.7,0.78
2016-08,84.74,83.03,21.32,27.41,2.43,2.99,0.91,1.02
2016-09,81.06,82.24,24.03,33.08,3.12,3.55,1.01,0.97
2016-10,51.2,53.4,23.7,32.07,2.76,3.16,0.64,0.72
2016-11,48.22,51.37,27.84,32.79,2.68,3.04,0.52,0.68
2016-12,48.39,53.03,26.17,29.65,2.17,2.64,0.65,0.72
2017-01,46.91,51.96,31.27,29.69,2.05,2.34,0.68,0.72
2017-02,49.61,53.64,30.86,31.82,2.29,2.51,0.53,0.68
2017-03,,53.56,28.78,29.19,2.23,2.6,0.5,0.73
2017-04,51.06,52.58,29.18,31.05,2.38,2.81,0.55,0.72
2017-05,45.81,51.7,31.33,33.25,3.44,3.41,0.78,0.72
2017-06,47.1,53.87,26.07,29.22,2.83,2.97,0.81,0.76
2017-07,57.29,69.76,25.02,26.97,2.61,2.87,0.89,0.91
2017-08,57.76,60.97,31.35,30.37,3.29,3.27,0.73,0.81
2017-09,89.36,78.39,31.0,32.21,3.13,3.25,0.84,0.99
2017-10,57.08,58.29,25.09,28.27,2.09,2.56,0.73,0.79
2017-11,46.97,51.41,35.19,33.71,2.8,2.92,0.6,0.67
2017-12,,51.96,29.29,30.1,2.05,2.4,0.73,0.71
2018-01,47.71,52.07,27.6,29.29,1.9,2.34,0.58,0.71
2018-02,52.8,53.65,30.05,31.63,1.96,2.31,0.44,0.64
2018-03,52.08,52.49,35.06,31.01,2.5,2.75,0.53,0.72
2018-04,53.45,51.57,32.25,32.44,2.81,3.1,0.45,0.71
2018-05,47.45,,34.3,34.28,3.64,3.54,0.67,0.71
